DateTime,AddedIPs,RemovedIPs
1584655738,0,1
1584662927,1,0
1584666502,20,1
1584673709,0,2
1584677322,1,17
1584680879,0,1
1584698910,1,0
1584702513,2,0
1584706116,1,0
1584709706,0,1
1584713311,2,2
1584716905,0,1
1584720529,1,0
1584724114,0,1
1584731334,1,1
1584738517,1,0
1584742103,0,1
1584756517,0,1
1584763721,2,0
1584767312,0,1
1584774545,0,2
1584778138,1,0
1584817720,0,2
1584821325,1,0
1584914920,0,1
1584918532,1,0
1584990532,0,1
1584994135,1,0
1585028140,1,0
1585048101,0,1
1585145334,1,0
1585152535,0,1
1585156142,1,0
1585217360,0,1
1585228146,1,0
1585300143,0,1
1585307339,1,0
1585343323,0,1
1585346927,1,0
1585487354,0,1
1585490935,1,0
1585635066,0,1
1585653070,1,0
1585692673,0,1
1585696263,1,0
1585761327,0,1
1585764930,1,0
1585772131,0,1
1585775732,1,0
1585797323,0,1
1585800921,1,0
1585811736,0,1
1585815294,1,0
1585826119,0,1
1585829731,1,0
1585844134,0,1
1585854855,1,0
1585905292,0,1
1585919715,1,0
1585944900,0,1
1585948125,1,0
1586027320,0,1
1586030934,1,0
1586041719,0,1
1586048928,1,0
1586200139,0,1
1586203712,1,0
1586243327,0,1
1586275723,0,3
1586282921,1,0
1586344115,0,1
1586365732,0,4
1586372913,1,0
1586387323,0,1
1586390922,1,0
1586423316,0,1
1586441330,1,0
1586488116,0,1
1586495329,1,0
1586509730,0,1
1586516915,1,0
1586520516,1,0
1586545725,0,1
1586549313,1,0
1586592523,0,1
1586596105,1,0
1586606914,0,1
1586614120,1,0
1586646523,0,1
1586653717,1,0
1586668110,1,0
1586704106,0,1
1586707715,1,0
1586783300,0,1
1586790523,1,0
1586815725,0,1
1586819316,1,0
1586826525,1,0
1586837326,0,1
1586855340,0,1
1586866134,1,0
1586884137,0,1
1586887714,1,0
1586938099,0,1
1586952530,1,0
1587046114,0,1
1587049710,3,0
1587053305,2,0
1587060501,0,3
1587064105,0,1
1587074932,0,1
1587082106,1,0
1587175743,3,0
1587190110,0,1
1587193709,1,0
1587226119,0,1
1587229708,1,0
1587247736,0,1
1587251316,1,0
1587262120,0,1
1587276528,1,0
1587294547,1,0
1587362919,1,0
1587370127,0,1
1587373697,1,0
1587384538,1,0
1587395321,0,1
1587438527,1,1
1587449310,1,1
1587460142,0,1
1587474518,1,0
1587571732,0,1
1587575321,1,0
1587586134,0,1
1587596935,1,0
1587607715,0,1
1587629337,1,0
1587679723,0,1
1587686913,1,0
1587863316,0,1
1587866940,1,0
1587910102,0,1
1587913728,1,0
1587967734,0,1
1587971356,1,0
1587982103,0,1
1587985721,1,0
1588014516,0,1
1588018139,1,0
1588190921,0,1
1588194524,1,0
1588291720,0,1
1588295312,1,0
1588342132,0,1
1588352923,0,1
1588579725,1,0
1588590517,0,1
1589120001,0,1
1589271162,1,0
1589285575,0,1
1589443956,0,1
1589576917,0,1
1589674256,0,1
1589688743,1,0
1589886763,1,0
1589897576,0,3
1589998361,1,0
1590002015,1,0
1590005562,1,0
1590009387,1,0
1590012686,1,1
1590016284,1,1
1590019965,1,1
1590023571,1,1
1590027161,1,1
1590030752,0,1
1590034383,0,1
1590037977,0,1
1590041601,0,1
1590197006,1,0
1590222369,1,0
1590225975,1,0
1590229649,1,0
1590233201,1,0
1590236889,1,1
1590240375,1,1
1590244095,1,1
1590247813,1,1
1590251265,1,1
1590254905,1,1
1590258538,1,1
1590269338,1,1
1590272928,0,1
1590276558,1,0
1590280236,1,1
1590283333,1,1
1590290583,1,1
1590294174,1,1
1590297941,1,1
1590301452,0,1
1590305007,1,1
1590308685,1,0
1590312201,1,1
1590315793,1,1
1590319421,0,1
1590323077,1,1
1590326635,1,1
1590330307,1,0
1590333784,1,1
1590341037,0,1
1590344708,1,1
1590348292,1,0
1590355491,1,1
1590359095,1,1
1590362725,1,1
1590366349,1,1
1590369936,1,1
1590373530,1,1
1590377151,1,1
1590380731,0,1
1590384354,1,0
1590387976,1,1
1590391588,0,1
1590395170,1,1
1590402370,1,0
1590405974,1,1
1590409768,0,1
1590413168,1,0
1590416826,1,1
1590420449,1,1
1590424028,1,1
1590427625,1,1
1590431402,1,1
1590438524,0,1
1590442061,0,1
1590445716,1,0
1590449230,1,0
1590453047,0,1
1590456640,1,1
1590460535,1,0
1590464149,1,1
1590467875,0,1
1590471519,1,1
1590478786,1,0
1590482884,0,1
1590490101,0,1
1590496383,1,0
1590499909,1,0
1590504625,1,1
1590507191,1,1
1590510680,1,1
1590514434,2,1
1590517888,0,1
1590521489,2,1
1590525126,1,0
1590528827,0,1
1590532448,1,1
1590536513,1,1
1590539707,1,0
1590543160,0,1
1590547160,1,1
1590550553,1,1
1590554158,1,0
1590557770,0,1
1590561334,1,1
1590564776,1,0
1590568730,1,1
1590572101,1,1
1590575733,1,1
1590583115,1,1
1590586533,1,1
1590590252,0,1
1590594045,1,0
1590597427,1,1
1590601118,0,1
1590605106,1,0
1590608344,0,1
1590611981,1,1
1590615937,1,0
1590619177,1,1
1590623023,2,1
1590627001,1,1
1590630326,1,1
1590634111,1,1
1590637774,1,1
1590641359,1,1
1590645006,1,1
1590648587,1,1
1590651968,1,1
1590655808,0,1
1590659384,1,1
1590670184,1,0
1590673768,0,1
1590677374,1,1
1590681053,1,1
1590684608,1,1
1590688280,1,1
1590691851,1,1
1590695424,1,1
1590702589,1,1
1590706181,1,1
1590709787,1,1
1590713425,1,1
1590717240,1,1
1590720651,0,1
1590728085,1,0
1590731928,1,1
1590734905,1,1
1590738886,0,1
1590742006,1,1
1590745942,1,1
1590749984,1,0
1590752716,1,1
1590756403,0,1
1590760045,1,0
1590764192,1,1
1590770811,0,1
1590774401,1,0
1590779100,0,1
1590781833,1,1
1590786139,1,0
1590789024,0,1
1590793003,0,1
1590800790,1,0
1590803744,1,0
1590807551,1,1
1590811228,1,1
1590814597,1,1
1590818423,0,1
1590822363,0,1
1590825572,1,0
1590829193,1,1
1590832843,1,0
1590836435,1,1
1590839868,1,1
1590843631,1,1
1590847207,0,1
1590850803,1,0
1590854372,1,1
1590858031,0,1
1590861861,0,1
1590865248,1,0
1590868837,1,0
1590872425,1,1
1590876048,1,1
1590879410,1,1
1590883231,1,1
1590887176,0,1
1590890774,1,1
1590894115,1,1
1590898048,1,0
1590901555,1,1
1590904951,1,1
1590908726,1,1
1590912168,0,1
1590915941,1,1
1590919349,1,0
1590923294,1,1
1590926683,1,1
1590930328,0,1
1590937582,1,1
1590941199,1,0
1590945074,1,1
1590952261,1,1
1590955584,1,1
1590959560,0,1
1590963200,1,1
1590966935,1,1
1590974175,1,1
1590977743,1,1
1590981308,1,0
1590984645,1,1
1590988247,1,1
1590992454,1,1
1590995442,0,1
1590999063,1,1
1591010224,1,1
1591013658,2,1
1591020646,1,1
1591024501,1,1
1591031744,1,0
1591035342,1,1
1591038942,1,1
1591042554,1,1
1591046136,1,1
1591053348,0,1
1591056960,1,1
1591060553,1,0
1591064175,1,1
1591067784,1,1
1591071358,0,1
1591074884,0,1
1591078678,1,0
1591085583,1,1
1591089243,1,0
1591093067,1,1
1591096337,1,1
1591100160,1,1
1591103802,1,1
1591107791,0,1
1591118137,1,1
1591121690,1,0
1591125340,1,1
1591129529,0,1
1591132527,1,1
1591136051,1,1
1591140296,1,0
1591143589,1,1
1591147424,0,1
1591151150,1,1
1591158361,1,1
1591161935,1,1
1591165049,1,0
1591169200,1,1
1591172734,1,0
1591176364,1,1
1591179956,1,1
1591183863,0,1
1591186582,0,1
1591194091,1,0
1591198538,1,1
1591201923,1,0
1591205434,1,1
1591208503,0,1
1591212548,1,1
1591219909,1,0
1591223284,1,1
1591226834,1,1
1591230878,1,1
1591234211,1,1
1591238191,0,1
1591241407,1,0
1591244840,1,1
1591248664,1,1
1591252240,1,1
1591255845,0,1
1591259440,1,1
1591266627,1,1
1591269975,1,1
1591274341,1,0
1591277805,1,1
1591281388,1,1
1591284398,0,1
1591292031,1,0
1591296240,1,1
1591303325,1,1
1591306845,0,1
1591310589,1,0
1591314096,1,1
1591320967,1,1
1591324897,1,1
1591328359,1,1
1591332184,0,1
1591335879,1,1
1591339014,0,1
1591342991,1,0
1591346919,1,0
1591350501,1,1
1591353817,1,1
1591356958,0,1
1591360510,1,0
1591364486,0,1
1591375545,2,1
1591379136,1,2
1591383928,1,1
1591388746,1,0
1591391152,1,1
1591393859,0,1
1591400949,1,1
1591404950,1,0
1591407318,1,1
1591411115,1,1
1591415639,1,1
1591420160,0,1
1591423730,0,1
1591427482,1,0
1591431084,1,0
1591434665,1,1
1591438285,0,1
1591445508,1,0
1591449109,1,1
1591452704,0,1
1591456328,1,1
1591460285,77,1
1591463954,1,0
1591467616,0,1
1591471171,0,60
1591474832,1,0
1591478824,1,1
1591486434,0,1
1591489438,1,0
1591493109,0,1
1591500874,13,0
1591504529,2,0
1591507568,1,0
1591510601,0,17
1591514512,1,1
1591518305,1,0
1591521456,0,1
1591525020,1,2
