DateTime,AddedIPs,RemovedIPs
1590540748,165,2389
1590542657,120,2012
1590544569,144,2611
1590546506,185,1544
1590548432,156,2065
1590550349,152,2060
1590552261,130,2197
1590554188,131,1439
1590556113,117,126
1590558016,107,147
1590560174,136,249
1590562093,155,151
1590564022,108,174
1590565948,368,133
1590567859,377,1213
1590569784,359,1864
1590571718,130,1795
1590574851,363,3363
1590576745,398,1915
1590578675,357,1262
1590580572,439,291
1590582510,246,227
1590585388,383,302
1590587294,1286,182
1590589213,1556,258
1590591152,1464,214
1590593058,1587,183
1590594987,1906,234
1590596889,1812,180
1590598845,2250,491
1590600798,1970,935
1590602710,1802,1199
1590604580,2415,932
1590606521,3149,883
1590608413,3264,219
1590610334,2590,184
1590612268,3381,178
1590614193,3035,220
1590616105,3392,167
1590618011,2055,187
1590619933,2179,166
1590621857,1547,158
1590623778,1665,139
1590625694,1521,138
1590627646,2009,175
1590629552,1700,154
1590631469,1988,171
1590634345,2145,286
1590637215,218,265
1590639382,162,158
1590641292,140,127
1590643236,140,148
1590645134,158,125
1590647053,199,112
1590648981,178,148
1590650890,195,128
1590653780,311,576
1590655694,189,399
1590657635,179,114
1590659531,181,134
1590661457,190,273
1590663381,192,335
1590665551,198,378
1590667464,187,352
1590669398,192,152
1590671302,140,151
1590673222,184,879
1590675135,175,1561
1590677054,173,1612
1590679245,214,1386
1590681138,195,1613
1590683068,175,1890
1590684984,172,2179
1590686891,143,1770
1590689775,265,3041
1590691718,173,3166
1590693624,170,3179
1590695543,167,3457
1590697453,203,2936
1590699380,222,3332
1590701288,238,2649
1590704176,339,3861
1590706096,190,2263
1590708021,195,1732
1590709936,182,1836
1590711863,165,1607
1590713772,162,2161
1590715689,183,1954
1590717648,219,2251
1590719536,375,2504
1590721469,180,692
1590723372,209,186
1590725553,288,190
1590727462,245,188
1590729374,193,175
1590731535,215,218
1590733467,158,233
1590735369,1213,200
1590737289,483,209
1590739299,466,259
1590741133,156,245
1590744024,314,295
1590745936,209,192
1590747867,193,231
1590749775,212,260
1590751703,196,183
1590754591,243,338
1590756503,195,212
1590758434,179,169
1590760338,177,215
1590762262,228,215
1590764167,2153,178
1590766337,2426,236
1590768265,1814,190
1590770193,1694,198
1590772106,160,171
1590774015,173,165
1590775944,197,176
1590777856,162,169
1590780020,556,191
1590781936,197,162
1590783866,175,191
1590785774,190,192
1590787691,193,233
1590789662,179,229
1590791574,199,201
1590793457,204,173
1590795389,172,187
1590797301,216,155
1590799220,302,174
1590801141,164,170
1590803053,207,180
1590804974,184,281
1590806906,185,287
1590808812,175,155
1590810735,198,286
1590812655,178,201
1590814593,177,179
1590816503,188,180
1590819386,286,245
1590821290,158,515
1590823225,657,185
1590825129,219,191
1590827054,170,204
1590828980,164,294
1590830893,208,462
1590834029,298,675
1590835936,142,195
1590837855,198,179
1590839773,161,171
1590841692,170,134
1590843642,252,187
1590845598,169,166
1590847470,176,158
1590849385,265,831
1590851296,178,2178
1590853210,207,2376
1590855132,156,1755
1590857051,196,1315
1590859216,227,198
1590861148,193,214
1590863053,218,192
1590864969,189,186
1590866889,210,595
1590868836,241,224
1590870743,196,198
1590872656,194,201
1590874592,222,242
1590876495,204,179
1590878412,202,240
1590880332,222,213
1590882270,209,213
1590884170,193,309
1590886092,254,329
1590888011,160,222
1590889927,262,224
1590891853,267,209
1590893771,118,229
1590895690,123,201
1590897623,162,224
1590899532,132,195
1590901454,131,196
1590903373,120,225
1590905298,133,219
1590907210,1029,217
1590909133,131,699
1590910991,114,318
1590912974,109,250
1590914894,133,207
1590916811,168,159
1590918749,656,233
1590920658,669,169
1590922570,165,197
1590924490,143,156
1590926496,172,195
1590928341,132,229
1590930256,141,198
1590932174,162,185
1590934103,811,243
1590936011,257,219
1590937935,352,224
1590939854,220,205
1590941770,177,191
1590943694,182,239
1590945612,160,189
1590947531,249,198
1590949479,188,223
1590951371,229,198
1590953289,225,221
1590955245,192,279
1590957133,168,218
1590959303,235,277
1590961214,241,212
1590963021,150,192
1590964827,396,201
1590966732,990,275
1590968653,676,237
1590970583,832,249
1590972515,1648,310
1590974428,988,207
1590976330,1573,247
1590978260,1312,236
1590980189,1303,128
1590982087,1303,123
1590984043,1476,141
1590985932,1299,132
1590987859,1155,131
1590989785,1307,101
1590991697,1453,109
1590993873,1105,1341
1590995801,1636,125
1590997710,1076,116
1590999609,1278,99
1591001533,1119,133
1591003465,949,170
1591005395,1020,374
1591007292,942,453
1591010190,1501,243
1591012093,1151,136
1591014010,947,130
1591015946,1063,136
1591017851,931,97
1591019783,1004,813
1591021688,898,90
1591023626,1026,127
1591025546,912,148
1591027464,899,118
1591029375,846,124
1591031309,783,128
1591033210,736,138
1591035381,912,124
1591037293,804,132
1591039222,764,135
1591041128,861,126
1591043069,735,135
1591044983,798,125
1591046886,677,100
1591048831,831,115
1591050744,166,168
1591052669,176,669
1591054572,183,319
1591056503,921,335
1591058406,1446,1347
1591060328,163,985
1591062265,170,1233
1591064190,179,1196
1591066094,154,1175
1591068022,169,1281
1591069950,211,1310
1591071854,166,1117
1591073781,181,1056
1591075704,141,987
1591077621,158,1397
1591079543,447,806
1591081718,861,933
1591083612,694,863
1591085555,555,1132
1591087463,603,1061
1591089379,617,847
1591091288,760,917
1591094178,664,1316
1591096140,159,952
1591098014,170,1045
1591099976,133,859
1591101851,157,947
1591103769,171,870
1591105700,951,982
1591107609,1414,847
1591109530,1766,951
1591111504,1365,892
1591113370,1505,926
1591115287,1075,616
1591118170,1356,995
1591120106,657,705
1591122018,204,649
1591123934,217,789
1591125864,266,688
1591127772,264,768
1591129690,207,625
1591132580,336,982
1591134502,273,698
1591136410,267,344
1591138332,285,112
1591140296,246,145
1591142168,179,502
1591144344,127,1809
1591146254,166,137
1591148182,125,137
1591150161,147,126
1591152033,134,148
1591153940,131,109
1591155852,134,171
1591158033,121,164
1591159933,116,148
1591161862,158,125
1591163768,171,143
1591166010,184,447
1591167856,692,649
1591169782,141,546
1591171699,126,510
1591173612,115,710
1591175542,247,611
1591177449,480,827
1591179610,447,744
1591181537,457,262
1591183509,396,249
1591185374,249,265
1591187543,327,268
1591189475,280,228
1591191412,214,1155
1591193299,224,2220
1591195209,176,2684
1591197392,239,2377
1591199293,178,1864
1591201280,201,1707
1591203144,193,1305
1591205050,148,1541
1591206968,158,692
1591208888,123,391
1591210831,148,349
1591212742,178,423
1591214907,195,413
1591216819,148,403
1591218731,622,390
1591220668,171,427
1591222568,199,396
1591224493,243,484
1591226408,216,361
1591228335,158,348
1591230262,427,179
1591232176,163,231
1591234099,150,174
1591236974,215,272
1591239137,171,238
1591241060,169,234
1591242968,162,211
1591244890,145,179
1591246844,134,207
1591248739,139,213
1591250662,373,217
1591252583,134,364
1591254510,298,471
1591256412,159,186
1591258341,137,172
1591260251,142,154
1591262171,127,280
1591264103,140,456
1591266015,133,406
1591267944,140,479
1591269871,126,428
1591271784,150,286
1591273699,234,365
1591275638,143,356
1591277546,184,261
1591279455,159,286
1591281371,129,219
1591283308,158,212
1591285210,201,285
1591287137,209,233
1591289067,170,248
1591290966,150,195
1591292889,131,185
1591294821,121,175
1591296728,125,161
1591298650,133,199
1591300579,652,200
1591302508,153,166
1591305372,227,1036
1591307289,261,211
1591309225,130,227
1591311131,178,241
1591313103,186,211
1591314981,172,162
1591316890,133,142
1591319766,199,245
1591321714,124,133
1591323620,159,466
1591325531,167,170
1591327450,167,208
1591329379,179,164
1591331292,133,167
1591333238,146,157
1591335144,158,131
1591337069,128,406
1591338994,162,219
1591340906,288,162
1591342824,243,160
1591344730,327,138
1591346661,159,169
1591348573,153,146
1591350488,158,156
1591352421,175,137
1591354330,164,161
1591356251,141,118
1591358180,141,163
1591360086,147,242
1591362040,146,167
1591363945,126,201
1591365868,130,156
1591367771,163,149
1591369716,142,171
1591371611,148,225
1591373533,163,220
1591375465,168,190
1591377369,160,139
1591379288,184,156
1591381224,167,131
1591383131,182,112
1591385050,168,128
