DateTime,AddedIPs,RemovedIPs
1588175308,3,0
1588179151,1,1
1588189927,0,7
1588191853,0,20
1588204325,0,1
1588210093,0,1
1588222841,0,1
1588238172,1,0
1588240101,51,0
1588242080,32,0
1588245860,2,1
1588256656,0,2
1588258579,0,1
1588260490,0,2
1588262709,1,1
1588266502,0,1
1588278488,16,0
1588281371,2,0
1588300815,1,0
1588308491,1,0
1588310423,1,0
1588325779,1,16
1588327734,0,68
1588329857,3,0
1588331778,17,2
1588335614,6,0
1588337531,7,0
1588339462,6,0
1588341393,7,0
1588343289,7,0
1588345348,3,0
1588349315,0,1
1588362984,1,0
1588364893,0,16
1588366908,0,2
1588376420,1,0
1588387946,0,1
1588393696,0,1
1588395731,0,1
1588397629,1,0
1588410977,0,1
1588412911,2,0
1588414825,1,0
1588416748,0,6
1588418668,0,14
1588420592,0,3
1588422502,0,5
1588425643,0,10
1588427534,0,7
1588429461,0,8
1588431426,1,3
1588448900,0,1
1588450812,1,0
1588463287,0,1
1588467141,38,0
1588485376,0,1
1588499824,0,3
1588508662,1,0
1588519572,0,1
1588536976,0,1
1588540811,2,0
1588553296,0,38
1588562889,2,0
1588566010,1,0
1588569871,1,0
1588577779,2,0
1588579973,16,0
1588581853,8,0
1588595292,0,1
1588618618,1,0
1588627211,0,2
1588629134,1,0
1588632981,1,0
1588634894,1,0
1588638799,1,0
1588644746,1,0
1588648571,0,1
1588650509,0,1
1588652413,0,1
1588654336,1,0
1588656260,0,1
1588664059,1,2
1588665876,0,15
1588667774,0,9
1588681464,1,0
1588685289,7,0
1588688179,162,0
1588690089,1,0
1588704042,0,1
1588707867,1,0
1588713608,1,0
1588715536,0,1
1588719393,0,1
1588721288,0,1
1588726097,0,1
1588728254,1,0
1588730187,0,1
1588734097,1,0
1588735935,1,0
1588739772,0,1
1588745540,1,0
1588751287,0,1
1588764749,1,0
1588768838,0,1
1588772660,0,73
1588774813,0,96
1588776733,1,1
1588793063,1,0
1588794979,0,1
1588800801,0,1
1588810569,5,0
1588814412,0,1
1588820171,0,1
1588822138,0,1
1588832659,0,1
1588848969,2,0
1588850887,0,1
1588860768,1,0
1588864568,3,1
1588868416,2,0
1588874199,4,0
1588876092,1,0
1588878993,1,0
1588880901,0,1
1588896506,0,5
1588900344,1,0
1588913781,1,0
1588935138,0,1
1588937054,0,1
1588947621,0,1
1588951455,1,3
1588953380,0,1
1588955409,0,1
1588958190,1,0
1588962011,1,5
1588965860,0,1
1588986104,0,1
1588997549,2,0
1589001635,0,1
1589005463,1,0
1589013135,1,0
1589024670,1,0
1589032336,1,0
1589038141,0,1
1589042183,2,0
1589046025,0,1
1589047937,0,1
1589082745,0,1
1589084655,0,1
1589091372,1,1
1589093302,25,0
1589099054,0,1
1589110825,0,1
1589118504,0,1
1589128089,0,2
1589134157,1,0
1589139855,1,0
1589176887,1,0
1589178803,0,1
1589180690,0,25
1589217384,9,0
1589219538,7,1
1589221454,7,0
1589223401,6,0
1589225290,6,0
1589227251,6,1
1589229151,5,0
1589231329,6,0
1589233215,6,0
1589235138,6,0
1589237083,4,0
1589258418,1,0
1589262258,0,1
1589295132,2,0
1589302866,0,7
1589304759,0,5
1589306912,0,7
1589308816,0,7
1589310736,0,6
1589312674,0,6
1589314569,0,5
1589316739,0,7
1589318659,0,5
1589320886,0,7
1589323044,0,6
1589326009,1,0
1589345531,0,1
1589380335,1,1
1589382516,0,1
1589408650,1,0
1589410581,0,1
1589437691,1,0
1589450178,1,0
1589465781,20,1
1589467692,10,0
1589477298,3,0
1589484262,1,0
1589491208,1,0
1589493157,1,0
1589495057,0,1
1589506594,1,0
1589518088,1,0
1589523855,0,1
1589537544,0,1
1589549073,1,0
1589552659,1,30
1589564429,17,3
1589566349,20,0
1589568263,1,0
1589572092,1,1
1589575934,0,1
1589579781,0,1
1589585547,1,0
1589593217,0,1
1589604730,0,1
1589635935,0,1
1589637901,0,1
1589651299,0,32
1589653210,0,5
1589655139,0,1
1589659111,0,1
1589661148,1,0
1589671359,0,1
1589683471,1,0
1589731078,1,0
1589743453,1,0
1589747770,0,1
1589768443,4,0
1589770333,0,1
1589808030,32,0
1589818622,1,1
1589826277,1,0
1589830350,0,1
1589838266,4,0
1589840412,7,0
1589842331,1,0
1589848088,5,0
1589850108,3,0
1589853880,0,4
1589855786,1,0
1589863452,5,0
1589865371,6,0
1589867301,6,0
1589869211,9,0
1589871133,10,0
1589873051,5,0
1589876903,6,0
1589892500,0,32
1589904981,0,1
1589907135,1,0
1589909055,1,0
1589912890,0,1
1589924661,0,4
1589926575,0,5
1589928508,0,3
1589932335,29,0
1589934273,0,5
1589936214,0,3
1589941217,0,1
1589949191,0,5
1589951092,0,4
1589952973,0,5
1589954927,0,10
1589956812,0,8
1589958732,0,8
1589960684,1,1
1589962572,0,4
1589964494,0,2
1589968337,1,0
1589993753,0,1
1589995789,0,1
1590009251,1,0
1590018730,27,25
1590036488,1,0
1590047287,0,1
1590049239,1,0
1590051165,3,0
1590053053,2,0
1590056520,1,1
1590070363,1,0
1590096048,0,1
1590103715,0,14
1590105656,0,17
1590107537,25,0
1590122895,0,1
1590136346,0,2
1590138282,0,3
1590140190,0,1
1590142675,0,1
1590146686,1,0
1590155352,0,1
1590168972,1,0
1590188499,5,0
1590190337,1,0
1590192502,0,11
1590194414,0,14
1590196352,2,0
1590198254,1,0
1590204011,1,0
1590207868,1,0
1590214570,1,0
1590232111,1,0
1590234011,0,1
1590244110,1,0
1590255869,0,1
1590274349,0,4
1590276256,0,2
1590280425,1,0
1590282296,0,2
1590284219,0,1
1590292195,0,1
1590294099,0,1
1590301697,0,1
1590311545,5,0
1590317535,0,1
1590323546,1,0
1590329308,1,0
