DateTime,AddedIPs,RemovedIPs
1587199699,0,3
1587212183,0,1
1587214112,0,1
1587216009,0,4
1587221768,0,1
1587228771,0,2
1587236564,4,0
1587257793,1,0
1587261683,1,0
1587263538,2,0
1587271475,0,2
1587275302,0,1
1587281100,2,1
1587296652,1,0
1587322582,0,3
1587349477,1,0
1587367065,0,2
1587383214,0,1
1587389760,0,1
1587397971,1,0
1587417614,3,0
1587425294,0,2
1587436237,1,0
1587446170,0,1
1587451930,0,1
1587459764,1,0
1587465617,0,1
1587477164,1,0
1587479064,1,0
1587485844,0,1
1587503593,0,3
1587522019,0,1
1587529686,2,0
1587563604,0,1
1587565468,0,1
1587576039,3,0
1587612268,3,0
1587637229,1,0
1587656696,0,2
1587662423,0,3
1587688570,3,0
1587696262,0,3
1587703928,0,1
1587724819,0,1
1587740169,1,0
1587744123,2,0
1587745937,1,0
1587774744,0,3
1587786489,1,0
1587799952,1,0
1587815317,3,0
1587829955,1,1
1587854188,1,0
1587858016,1,0
1587875293,0,1
1587877293,3,0
1587885147,0,1
1587887097,3,3
1587902674,0,3
1587927133,2,0
1587940821,0,1
1587944662,0,1
1587952341,2,0
1587958110,1,0
1587963866,0,3
1587973223,1,3
1587977057,1,0
1587978979,4,0
1588004916,2,0
1588014493,0,2
1588024105,1,0
1588033720,0,1
1588037542,0,2
1588045223,0,1
1588054816,2,0
1588065383,0,4
1588067310,2,0
1588073094,1,0
1588079863,1,0
1588092731,0,2
1588107134,2,0
1588110978,0,1
1588117689,2,0
1588123467,3,0
1588139771,2,2
1588153458,0,2
1588159458,1,1
1588165481,0,1
1588193779,0,2
1588204328,0,2
1588206256,0,1
1588210097,0,2
1588218971,0,1
1588225692,3,1
1588265537,2,0
1588277308,1,0
1588281152,0,3
1588292897,1,0
1588298915,3,0
1588312355,3,3
1588320185,3,0
1588328211,1,0
1588353371,0,2
1588363000,3,0
1588368972,1,0
1588378810,0,1
1588386493,0,3
1588390345,1,0
1588399955,0,3
1588405693,0,2
1588407633,0,1
1588415294,0,1
1588420103,0,1
1588425888,2,0
1588450374,0,3
1588456150,0,1
1588473376,1,0
1588477214,0,1
