DateTime,AddedIPs,RemovedIPs
1585274653,0,3
1585276589,0,1
1585280414,0,6
1585282356,0,1
1585284260,0,1
1585303698,1,0
1585313541,3,0
1585337774,0,1
1585351239,3,0
1585376415,3,0
1585390120,0,1
1585395907,1,0
1585399696,0,3
1585437377,0,2
1585462863,0,1
1585482734,0,1
1585510810,0,3
1585581133,1,0
1585583067,1,0
1585600912,1,0
1585668061,0,2
1585685786,0,1
1585712908,1,0
1585753952,3,0
1585799531,0,1
1585838669,0,3
1586009536,3,0
1586015312,2,0
1586043377,1,0
1586045314,1,0
1586096676,0,3
1586102659,0,2
1586119973,3,0
1586129555,0,1
1586131475,0,1
1586156593,1,0
1586186439,1,0
1586188335,1,0
1586206955,0,3
1586241617,0,1
1586261047,3,0
1586272596,0,1
1586274537,0,1
1586280296,1,0
1586329703,3,0
1586345071,1,0
1586362602,1,0
1586378208,0,3
1586416853,0,3
1586432413,0,1
1586449224,0,1
1586451130,1,0
1586453054,0,1
1586478014,3,0
1586495547,2,0
1586532270,2,0
1586538067,0,1
1586562983,0,3
1586582670,0,2
1586616501,1,0
1586618435,0,2
1586646984,13,0
1586660706,1,0
1586666435,1,0
1586668355,1,0
1586670266,1,0
1586676023,1,0
1586703150,0,1
1586728128,1,0
1586733858,0,13
1586747781,0,1
1586753541,0,1
1586755473,0,1
1586763407,0,1
1586790507,1,0
1586814268,0,1
1586827951,1,0
1586837556,3,0
1586839494,0,1
1586878110,0,1
1586913146,0,1
1586925378,1,3
1586929217,1,0
1586936908,1,0
1586973869,1,0
1587012744,0,1
1587014668,0,1
1587024493,0,1
1587055957,3,0
1587061733,1,0
1587063675,1,0
1587073221,1,0
1587094346,1,0
1587113534,3,0
1587127932,1,0
1587129851,3,0
1587135668,1,0
1587141639,2,3
1587151471,0,1
1587159372,0,1
1587180995,0,1
1587184813,2,0
1587188660,1,0
1587198265,0,1
1587200167,0,2
1587211943,0,1
1587213855,0,1
1587215774,0,1
1587217703,0,3
1587221533,0,1
1587227289,0,1
1587229378,0,1
1587235217,3,0
1587271741,0,2
1587273610,1,0
1587275529,1,1
1587281288,2,0
1587286995,1,0
1587296654,1,0
1587322583,0,3
1587361214,0,1
1587365060,1,0
1587367109,0,2
1587373177,0,1
1587379040,1,0
1587383245,0,1
1587416787,3,0
1587446173,0,1
1587451934,0,1
1587465620,0,1
1587477168,1,0
1587479091,1,0
1587503597,0,3
1587563606,0,1
1587574348,3,1
1587610982,3,0
1587660980,0,3
1587688091,3,0
1587697027,0,3
1587739464,1,0
1587743298,1,0
1587745486,1,0
1587747380,1,0
1587774503,0,3
1587815318,3,0
1587827003,0,1
1587830905,0,2
1587832816,0,1
1587853212,1,0
1587858968,1,0
1587877343,3,0
1587886856,3,0
1587902176,0,3
1587928584,2,0
1587940102,0,1
1587944894,0,1
1587952587,2,0
1587959302,1,0
1587963159,0,3
1587973227,0,3
1587978982,3,0
1588004920,2,0
1588014742,0,2
1588024331,1,0
1588038971,0,2
1588045962,0,1
1588053689,2,0
1588065144,0,3
1588067050,2,0
1588072810,1,0
1588092520,0,2
1588106173,2,0
1588111933,0,1
1588117691,2,0
1588123470,3,0
1588139065,2,0
1588140977,0,2
1588152493,0,2
1588159460,1,1
1588193064,0,2
1588204628,0,2
1588211319,0,2
1588224752,3,1
1588264592,2,0
1588280576,0,3
1588292453,1,0
1588300113,3,0
1588311932,0,3
1588313798,3,0
1588319619,2,0
1588329388,1,0
1588353621,0,2
1588363289,3,0
1588368975,1,0
1588378814,0,1
1588386500,0,3
1588390582,1,0
1588398495,0,3
1588406197,0,2
1588414844,0,1
1588426590,1,0
1588449911,0,3
1588455631,0,1
1588476747,0,1
1588494266,3,0
1588502898,2,0
1588512492,0,1
1588530330,3,0
1588558351,1,0
1588562174,2,0
1588579988,0,3
1588589549,0,2
1588616670,0,3
1588639932,3,0
1588647814,0,2
1588651710,0,1
1588659386,3,0
1588668978,2,0
1588688183,2,0
1588695946,1,0
1588707410,1,0
1588723018,2,0
1588727792,2,3
1588737380,3,0
1588745093,0,3
1588756577,0,2
1588760432,1,0
1588768112,2,0
1588775788,0,2
1588781550,0,1
1588793066,0,1
1588810573,0,2
1588814415,0,2
1588824113,0,3
1588847069,0,1
1588901786,3,2
1588942346,1,0
1588990606,0,3
1589011946,3,0
1589029716,0,1
1589096906,3,0
1589098823,0,3
1589112498,1,0
1589116339,2,0
1589118255,2,0
1589131694,2,0
1589133785,1,0
1589147340,3,0
1589159047,2,0
1589160986,1,0
1589162901,3,0
1589172500,1,0
1589182091,0,2
1589185230,2,1
1589190982,1,0
1589192902,1,0
1589196999,1,0
1589198924,0,1
1589200815,1,0
1589202982,0,3
1589204928,0,1
1589218370,0,3
1589233696,0,3
1589246204,0,2
1589248094,0,1
1589250296,0,3
1589258187,0,1
1589263939,2,0
1589271647,0,1
1589277382,0,1
1589279294,0,1
1589283166,3,1
1589286983,0,2
1589300429,1,0
1589344096,1,0
1589350348,0,2
1589359947,3,0
1589365696,2,0
1589368824,0,3
1589384418,1,0
1589400184,2,0
1589415643,2,0
1589429330,1,1
1589431230,0,1
1589446608,0,3
1589452573,0,2
1589469926,0,1
1589476837,3,0
1589486907,0,2
1589500574,0,2
1589507294,1,0
1589509247,2,0
1589516891,0,1
1589548585,3,0
1589562519,0,3
1589570175,2,0
1589595377,2,3
1589633532,1,0
1589635511,0,3
1589657191,0,2
1589665089,3,0
1589677492,2,0
1589681541,0,2
1589708675,3,0
1589710842,1,0
1589720689,0,1
1589751614,0,3
1589763383,0,2
1589770340,3,0
1589776103,3,0
1589795545,0,3
1589797478,0,1
1589822655,2,0
1589836828,1,0
1589856262,0,1
1589862020,2,1
1589895374,1,0
1589901389,1,0
1589907142,2,0
1589909060,1,0
1589912898,3,0
1589918904,0,5
1589922754,2,1
1589944136,1,0
1589947948,2,2
1589980549,3,1
1589988270,0,1
1589992397,0,2
1589994843,0,1
1589996782,2,0
1589998993,0,3
1590011423,0,2
1590030161,0,2
1590032015,2,0
1590034134,1,2
1590066202,0,3
1590082130,0,2
1590086192,3,0
1590097943,2,0
1590101784,2,0
1590103738,3,0
1590117645,0,2
1590149562,3,0
1590155358,3,0
1590162977,3,0
1590164897,1,0
1590167071,4,0
1590172826,0,3
1590178829,1,0
1590182654,2,0
1590184585,11,2
1590188614,0,3
1590190584,0,2
1590202108,0,1
1590204016,1,0
1590205956,2,0
1590233304,2,0
1590235350,1,3
1590243147,0,3
1590245057,1,0
1590248894,0,3
1590252736,0,1
1590254664,0,4
1590264509,2,1
1590268334,1,0
1590270266,0,10
1590272176,0,3
1590277938,1,0
1590289756,0,1
1590293553,0,1
1590305065,3,0
1590308894,1,0
1590315156,1,0
1590318971,0,2
1590320905,0,1
1590322810,3,0
1590330744,0,1
1590350184,0,1
1590354310,0,2
1590365791,0,1
1590383535,3,0
1590391230,0,3
1590395069,0,2
1590401105,0,1
1590408846,0,3
1590431066,2,0
1590438985,3,0
1590446668,3,0
1590470441,0,3
1590499724,1,0
1590506689,3,0
1590517250,0,1
1590521067,0,1
1590526705,0,3
1590532629,0,3
1590538341,2,0
1590540258,2,0
1590546028,2,0
1590575325,2,0
1590583933,2,0
1590594020,0,3
1590601699,2,0
1590603628,1,0
1590613363,3,0
1590623289,1,0
1590625267,0,2
1590627139,0,2
1590632894,0,2
1590647295,0,1
1590660101,3,2
1590668905,0,2
1590676821,2,0
1590682613,2,0
1590688361,2,3
1590698897,0,3
1590708505,2,0
1590710528,0,1
1590716186,1,0
1590721930,1,0
1590741381,3,0
1590745211,0,3
1590757009,2,0
1590762019,2,2
1590769691,0,2
1590773787,0,2
1590779566,2,0
1590785308,2,0
1590794913,0,2
1590802816,0,1
1590808575,0,1
1590816264,1,0
1590827769,0,3
1590843134,0,2
1590845112,3,0
1590849139,0,2
1590866409,0,2
1590872182,0,2
1590876065,3,0
1590880097,1,0
1590904096,0,1
1590911776,2,0
1590941775,1,0
1590959308,3,0
1590963025,0,2
1590964831,0,1
1590990013,1,0
1591005399,1,0
1591009364,1,0
1591015223,0,6
1591024822,3,0
1591028654,0,1
1591045937,3,3
1591076905,0,1
1591086504,3,0
1591092517,0,1
1591096581,0,1
1591098495,1,0
1591102338,2,0
1591112187,0,3
1591119852,3,0
1591131369,0,3
1591146975,2,0
1591168348,2,0
1591172171,0,3
1591183942,0,1
1591188031,4,2
1591207264,0,3
1591234104,0,2
1591255692,0,2
1591273703,0,1
1591277051,3,3
1591293380,3,0
1591301315,3,0
1591307061,2,0
1591343822,2,0
1591354582,2,0
1591364172,0,3
1591368008,2,0
1591372089,1,0
1591379783,0,3
1591384823,2,0
1591388653,0,3
1591392489,1,0
1591395623,1,2
1591414808,3,0
1591428738,0,2
1591430659,1,0
1591432585,1,0
1591442172,0,2
1591453691,0,2
1591457539,0,1
1591461385,3,0
1591470998,0,2
1591474816,2,0
1591480576,0,2
1591485370,2,0
1591498964,1,0
1591500981,0,3
1591516329,0,1
1591518264,0,1
