DateTime,AddedIPs,RemovedIPs
1588103288,2,0
1588109051,1,0
1588112892,1,0
1588117691,0,1
1588119650,1,1
1588123471,1,0
1588127302,1,1
1588133318,0,1
1588137145,1,0
1588139065,0,2
1588140977,1,1
1588144822,1,0
1588163564,1,0
1588165486,0,1
1588179158,0,2
1588182997,0,2
1588187044,0,3
1588191137,0,1
1588195008,1,0
1588209370,1,1
1588213226,0,1
1588215147,2,0
1588217071,0,1
1588218973,0,1
1588220910,0,1
1588222970,0,2
1588230985,0,2
1588232912,1,0
1588242497,1,1
1588254273,0,1
1588258368,1,0
1588264099,1,0
1588268194,0,1
1588281614,0,1
1588283541,1,1
1588289300,2,1
1588292454,0,2
1588296264,0,1
1588302197,0,1
1588304208,0,1
1588309947,1,0
1588317719,0,1
1588323420,1,0
1588329389,0,1
1588333266,2,0
1588340927,1,0
1588342819,1,0
1588350523,1,0
1588359380,1,0
1588361289,1,0
1588365165,1,1
1588368993,0,1
1588371252,1,0
1588374973,0,1
1588390582,0,1
1588396590,0,1
1588410988,1,1
1588420608,1,0
1588422528,0,1
1588428500,0,1
1588442174,1,0
1588444093,0,1
1588447010,1,0
1588454675,1,0
1588458500,0,1
1588464494,0,2
1588474130,0,2
1588476022,0,1
1588497384,0,1
1588506978,1,0
1588528349,3,1
1588530333,1,0
1588532191,0,1
1588540819,0,1
1588560292,1,0
1588569879,1,0
1588593427,1,1
1588599180,2,1
1588603215,1,0
1588605156,1,0
1588616670,2,1
1588628456,1,0
1588630344,1,0
1588643790,1,0
1588647832,0,1
1588655571,0,1
1588670892,0,3
1588676669,0,1
1588678583,2,0
1588680549,1,0
1588684344,0,1
1588688183,1,1
1588693854,3,0
1588695946,1,0
1588701773,0,1
1588703576,1,1
1588709563,2,0
1588713403,2,0
1588721064,0,1
1588728738,2,0
1588730735,1,2
1588740261,0,1
1588750100,0,1
1588761869,1,0
1588763776,2,0
1588765697,1,3
1588773389,1,1
1588777388,1,0
1588781375,0,1
1588783246,1,0
1588796666,0,1
1588803620,0,1
1588807477,0,3
1588814174,1,0
1588816101,0,1
1588829787,1,0
1588833627,1,0
1588843216,0,2
1588850898,0,2
1588864575,1,0
1588866506,0,1
1588868423,1,1
1588872281,1,0
1588880203,0,1
1588882138,0,1
1588884015,3,0
1588885946,1,0
1588893623,1,0
1588899382,0,1
1588916892,0,1
1588920736,0,1
1588929375,2,0
1588933225,1,0
1588935152,1,0
1588945695,0,2
1588949543,0,1
1588955419,1,0
1588967305,0,1
1588969220,2,1
1588973068,0,1
1588974981,1,0
1588976894,0,1
1588979051,2,1
1588981043,2,0
1588984820,0,1
1588988656,1,0
1589002091,1,0
1589016019,0,3
1589017935,1,0
1589021796,0,2
1589023733,1,0
1589027795,1,0
1589037377,1,0
1589039304,1,0
1589041211,0,1
1589046978,0,1
1589054707,1,0
1589058527,1,0
1589062339,0,1
1589073861,1,0
1589075793,0,1
1589088261,0,1
1589092098,0,1
1589095001,0,2
1589102714,1,1
1589106513,1,0
1589108607,0,1
1589112499,0,2
1589114412,0,1
1589116339,1,0
1589120172,2,0
1589124014,1,0
1589129712,1,0
1589133798,1,0
1589141536,0,1
1589147340,2,0
1589153064,1,0
1589156896,0,1
1589172500,1,0
1589176332,0,1
1589182091,1,0
1589186190,0,1
1589188108,1,1
1589190022,0,1
1589205387,0,1
1589207291,0,3
1589212108,0,2
1589218112,3,0
1589221234,0,1
1589228894,1,0
1589230925,1,0
1589232747,0,1
1589234732,0,1
1589256267,0,1
1589273552,0,2
1589287211,1,0
1589291064,3,0
1589292974,1,0
1589304467,0,3
1589306617,1,0
1589314342,0,1
1589316283,1,0
1589318204,0,1
1589325571,0,1
1589329697,1,0
1589332579,1,0
1589358012,1,0
1589370738,0,1
1589376560,0,1
1589378729,0,4
1589400190,2,0
1589404176,1,0
1589409866,0,1
1589411780,2,0
1589429331,0,1
1589454533,0,2
1589460263,1,0
1589473704,1,1
1589479955,1,0
1589487865,0,1
1589493748,1,0
1589495558,1,0
1589501332,1,0
1589503227,1,0
1589514730,1,0
1589529386,0,1
1589537311,0,1
1589539220,0,1
1589545260,1,0
1589547138,1,0
1589557707,0,1
1589563452,0,1
1589565411,2,0
1589569285,0,1
1589584588,2,0
1589594587,0,1
1589598520,0,1
1589600412,1,1
1589610163,0,1
1589625875,2,0
1589633533,1,0
1589637392,0,1
1589641357,1,0
1589651051,0,1
1589665090,0,1
1589669397,0,1
1589671366,0,1
1589675376,0,1
1589677493,0,1
1589687307,0,1
1589689282,0,1
1589712751,0,2
1589720698,0,1
1589722578,0,2
1589743221,1,0
1589747067,1,0
1589750924,1,0
1589787882,1,0
1589805373,0,1
1589815014,1,0
1589829137,1,0
1589863937,1,0
1589869702,1,0
1589873772,0,1
1589875947,0,1
1589905261,0,1
