DateTime,AddedIPs,RemovedIPs
1589526130,1,0
1589527958,1,1
1589537554,0,2
1589539459,0,1
1589541409,0,1
1589545262,0,2
1589547139,1,0
1589549082,1,0
1589551398,0,2
1589553379,0,1
1589555830,0,1
1589563453,0,2
1589565413,1,0
1589567307,1,0
1589570425,1,1
1589576201,2,0
1589586750,2,1
1589596575,2,0
1589604269,1,1
1589610193,1,0
1589614174,1,2
1589625875,1,0
1589633534,1,1
1589635515,1,1
1589647218,0,1
1589651052,0,1
1589654892,2,0
1589657192,1,1
1589659121,1,1
1589663208,0,2
1589665091,1,0
1589667113,1,0
1589671371,2,1
1589673284,1,0
1589675377,1,0
1589679672,1,1
1589683481,0,1
1589694981,0,1
1589699081,1,0
1589700993,0,2
1589704823,1,0
1589706753,1,0
1589710845,1,0
1589712752,2,1
1589720715,1,1
1589722579,0,1
1589724504,1,0
1589726455,2,0
1589730314,2,0
1589734353,2,0
1589738177,1,0
1589742188,0,2
1589744477,0,1
1589748262,1,0
1589750215,1,0
1589752092,0,3
1589755934,2,1
1589757858,0,1
1589759778,0,1
1589761694,0,1
1589766497,0,1
1589768475,0,1
1589770343,1,0
1589772293,1,0
1589785945,0,1
1589791728,0,1
1589797481,1,2
1589799376,0,2
1589803403,2,0
1589805375,1,0
1589807320,0,1
1589809221,1,0
1589811161,0,1
1589813058,2,2
1589815019,1,0
1589816899,0,1
1589820747,1,0
1589822660,0,1
1589825076,0,2
1589831086,1,0
1589834967,0,1
1589836831,1,1
1589842580,1,2
1589844520,0,1
1589850517,1,0
1589858206,0,1
1589862026,0,1
1589867779,1,0
1589871884,1,0
1589873773,2,0
1589877867,1,0
1589881698,1,0
1589885571,0,1
1589887478,1,0
1589889412,0,1
1589891296,0,1
1589895376,0,1
1589899462,1,2
1589901390,0,1
1589903298,1,0
1589907146,2,1
1589915173,1,0
1589917001,3,1
1589918908,1,0
1589924669,1,0
1589928519,0,1
1589930499,2,1
1589932347,2,0
1589938144,2,1
1589940361,2,0
1589942192,1,0
1589946020,2,0
1589947950,1,0
1589951819,1,0
1589953717,0,2
1589959552,2,3
1589965535,0,1
1589967391,0,1
1589969639,2,0
1589971756,1,1
1589973821,0,1
1589977288,1,0
1589989398,1,0
1589993998,0,2
1589996049,1,1
1590000123,0,1
1590002133,0,2
1590004121,0,1
1590006369,0,1
1590011489,1,1
1590013631,0,1
1590016837,0,2
1590018745,0,1
1590020653,2,0
1590022596,0,1
1590027781,0,1
1590029806,0,1
1590031688,1,2
1590033714,0,1
1590035786,1,0
1590041542,1,1
1590045384,0,2
1590056665,1,3
1590058597,1,1
1590060498,4,1
1590062703,0,1
1590068499,2,0
1590076416,1,1
1590078274,1,0
1590082133,0,1
1590084376,67,0
1590086193,4,1
1590088122,3,0
1590094107,1,0
1590096080,1,0
1590097945,0,1
1590105850,2,0
1590107785,0,2
1590117646,1,0
1590119536,1,0
1590125307,0,1
1590130115,0,1
1590139719,1,0
1590142082,0,1
1590146185,0,3
1590148097,0,1
1590152169,2,0
1590154102,1,1
1590157320,0,1
1590159150,1,0
1590162978,0,1
1590164899,0,1
1590167077,1,0
1590168977,0,1
1590170904,0,71
1590174982,0,3
1590176957,0,1
1590178832,1,0
1590180736,1,1
1590182655,0,1
1590184587,1,0
1590192514,0,1
1590196356,0,1
1590202110,1,0
1590204018,0,1
1590209778,1,0
1590213786,1,0
1590221546,1,0
1590225371,0,1
1590235404,1,1
1590237219,0,1
1590239456,2,1
1590241452,0,1
1590245289,0,1
1590247221,1,0
1590252986,0,1
1590256834,1,0
1590258769,1,0
1590260587,0,1
1590262575,1,0
1590264510,0,1
1590266412,0,1
1590270266,0,1
1590274094,1,0
1590276027,1,0
1590281775,1,0
1590289086,3,1
1590290979,1,0
1590294125,1,0
1590299793,0,2
1590301701,1,0
1590303923,2,0
1590305785,1,0
1590307694,0,1
1590311577,1,0
1590313502,0,1
1590315655,1,0
1590321401,1,1
1590325467,0,2
1590333409,0,1
1590344173,1,2
1590349944,1,1
1590362080,0,1
1590364107,0,1
1590366039,1,0
1590367934,0,1
1590375879,0,2
1590377809,1,0
1590379733,0,1
1590389317,2,1
1590391288,0,1
1590393162,0,1
1590395071,1,0
1590398907,0,1
1590401112,0,2
1590404915,1,0
1590406854,2,1
1590412836,1,0
1590420515,1,0
1590429172,1,0
1590431068,0,1
1590432983,2,0
1590437111,0,1
1590438987,1,1
1590442841,1,0
1590450976,1,0
1590452906,0,1
1590460824,1,0
1590464677,1,0
1590466582,1,0
1590474263,0,1
1590476192,1,0
1590486103,0,2
1590492030,0,1
1590493949,1,1
1590504762,1,0
1590506692,0,2
1590515303,0,1
1590519166,1,1
1590521069,0,1
1590524905,0,2
1590526707,7,0
1590528740,59,0
1590530756,0,1
1590538343,1,1
1590546030,1,0
1590547954,0,2
