DateTime,AddedIPs,RemovedIPs
1580335707,5,9
1580357547,8,1
1580379614,1,6
1580401469,1,2
1580423535,2,2
1580445383,2,1
1580467481,3,4
1580489530,3,4
1580511389,3,2
1580544387,4,2
1580566339,4,3
1580588416,1,0
1580610266,6,5
1580632335,2,1
1580654193,1,2
1580676277,1,5
1580698328,3,6
1580720174,1,2
1580742349,2,2
1580764360,4,2
1580786539,3,3
1580808493,2,7
1580830341,5,2
1580852184,2,3
1580874041,1,5
1580896097,5,8
1580917938,3,1
1580939791,1,1
1580961823,2,7
1580983707,4,4
1581005559,4,2
1581027625,1,2
1581049502,5,2
1581071541,1,4
1581093385,2,2
1581115531,5,2
1581137545,2,5
1581159879,5,4
1581181942,3,4
1581204021,1,6
1581225888,4,1
1581247939,3,4
1581269786,1,0
1581291637,2,1
1581313711,3,2
1581335560,1,0
1581357932,4,3
1581379949,1,3
1581402029,2,1
1581424099,1,2
1581445956,6,2
1581468014,4,2
1581489869,4,3
1581511936,2,3
1581534235,4,1
1581556096,2,2
1581577946,3,5
1581599787,3,1
1581621858,2,2
1581643932,3,2
1581665799,2,3
1581687669,0,1
1581709706,2,1
1581731783,2,4
1581753684,2,2
1581775701,3,2
1581797568,1,6
1581819620,2,3
1581841698,6,2
1581863551,2,4
1581885402,3,3
1581907478,1,2
1581929532,2,5
1581951392,6,2
1581973490,0,4
1581995571,2,3
1582017632,3,6
1582039475,4,3
1582061541,6,3
1582083392,2,2
1582105240,6,1
1582127301,3,5
1582149152,5,2
1582171414,3,3
1582193349,3,5
1582215400,2,1
1582237471,4,4
1582259537,4,2
1582281408,1,3
1582303454,2,0
1582325444,1,3
1582347375,1,2
1582369508,0,2
1582391536,3,4
1582413382,0,1
1582435475,1,3
1582457558,3,2
1582479617,0,2
1582501712,3,2
1582523820,1,2
1582556922,4,5
1582578977,2,2
1582600820,3,4
1582622670,4,5
1582644736,4,3
1582666588,1,6
1582688656,3,3
1582710758,4,6
1582743875,6,5
1582765744,1,3
1582787620,5,3
1582809609,3,3
1582831481,1,2
1582853546,0,4
1582875625,1,1
1582897472,0,2
1582919318,3,3
1582941401,4,1
1582963404,4,2
1582985293,1,1
1583007142,3,3
1583028989,3,1
1583051078,5,3
1583073188,2,2
1583095221,4,1
1583117064,4,4
1583139129,1,3
1583160987,2,2
1583183073,3,2
1583205163,3,2
1583227214,4,4
1583249102,3,5
1583271136,3,0
1583293230,0,3
1583315079,5,3
1583337135,5,7
1583359550,3,1
1583381536,1,4
1583403376,3,4
1583425221,1,4
1583447292,0,1
1583469138,3,0
1583491221,2,2
1583513302,2,3
1583535372,3,3
1583557374,3,2
1583579327,2,4
1583601383,3,1
1583623468,2,2
1583645556,0,3
1583667614,0,2
1583689486,1,5
1583711533,2,4
1583733401,2,2
1583755393,4,1
1583777333,3,3
1583799405,3,2
1583821489,5,5
1583843565,4,3
1583865620,4,3
1583887703,4,1
1583909789,3,3
1583931862,6,4
1583953713,6,5
1583975774,3,0
1583997615,4,4
1584019476,5,3
1584041598,1,0
1584063629,3,2
1584085705,4,2
1584107780,3,0
1584140676,4,4
1584162734,1,1
1584184599,1,1
1584206653,1,2
1584228733,1,2
1584272432,3,1
1584294302,5,1
1584316354,2,3
1584338195,0,1
1584371089,2,6
1584392935,1,1
1584414981,2,4
1584437075,3,5
1584459177,2,4
1584481215,3,4
1584503251,4,5
1584525150,1,2
