DateTime,AddedIPs,RemovedIPs
1590544100,69,101
1590546035,74,88
1590547958,90,198
1590549877,88,103
1590551809,69,95
1590553701,81,66
1590555900,87,105
1590557809,77,75
1590559719,73,88
1590561630,69,79
1590563570,88,89
1590565499,68,93
1590567571,84,112
1590569576,66,93
1590571473,65,87
1590573374,60,92
1590575406,69,104
1590577459,93,88
1590579385,84,93
1590581298,65,78
1590583283,84,65
1590585396,60,96
1590587303,85,55
1590589231,76,78
1590591250,90,86
1590593067,57,80
1590595000,79,90
1590596897,140,67
1590598998,110,85
1590600822,84,88
1590602792,77,84
1590604811,1115,89
1590606984,1790,106
1590608901,1702,57
1590610843,1431,54
1590612742,1549,38
1590614705,1366,39
1590616577,1624,108
1590618498,131,106
1590620717,54,36
1590622574,33,35
1590624498,38,38
1590626412,44,50
1590628337,39,34
1590630265,45,34
1590632178,31,32
1590634352,30,34
1590636260,35,41
1590638210,35,26
1590640120,23,34
1590642976,55,56
1590644892,35,18
1590646862,32,36
1590648734,37,23
1590650659,39,39
1590652584,33,33
1590654492,35,32
1590656538,32,29
1590658357,35,34
1590660209,35,23
1590662986,42,40
1590665142,39,45
1590666997,19,33
1590668910,38,31
1590671017,33,25
1590672998,41,32
1590674896,37,17
1590676826,31,42
1590678795,33,26
1590680681,29,32
1590682621,31,31
1590684509,35,34
1590686437,27,30
1590688366,34,29
1590690305,36,625
1590692226,40,1597
1590694102,39,1395
1590696983,83,2389
1590698903,72,1635
1590700944,88,1557
1590702753,80,1675
1590704663,123,402
1590706592,102,84
1590708512,85,101
1590710669,97,100
1590712588,79,103
1590714765,103,122
1590716664,99,112
1590718728,91,102
1590720755,72,69
1590722664,72,89
1590724582,159,86
1590726503,91,85
1590728658,80,89
1590730579,92,81
1590732756,81,95
1590734664,79,72
1590736587,84,112
1590738519,65,90
1590740425,102,197
1590742343,71,60
1590745461,153,158
1590747622,100,113
1590749544,72,74
1590751464,77,87
1590753381,95,66
1590755312,72,87
1590757475,85,79
1590759408,97,74
1590761560,104,98
1590763477,80,50
1590765379,53,85
1590767314,62,72
1590769226,75,73
1590771139,87,72
1590773075,59,82
1590775002,72,83
1590776899,83,78
1590780036,140,128
1590781946,87,90
1590783874,108,96
1590785783,63,93
1590787701,86,105
1590789922,75,109
1590791786,93,127
1590793705,81,97
1590795661,88,91
1590797548,79,105
1590799468,82,101
1590801381,76,101
1590803318,112,98
1590805241,62,101
1590807170,80,83
1590809072,59,84
1590810984,76,162
1590812906,81,71
1590815788,101,155
1590817696,82,69
1590819638,56,93
1590821571,68,82
1590823459,69,69
1590825423,57,69
1590827296,70,60
1590829339,87,86
1590831172,83,101
1590833115,87,80
1590834982,86,76
1590836899,69,73
1590838816,75,64
1590840781,93,104
1590842664,62,65
1590844605,77,93
1590846502,58,62
1590848443,67,76
1590850341,54,82
1590852264,57,75
1590854193,77,68
1590856096,72,71
1590858217,72,84
1590860174,82,77
1590862098,63,78
1590864023,80,77
1590865936,102,64
1590867864,84,66
1590869772,91,76
1590871694,93,68
1590873616,80,89
1590875647,99,83
1590877459,92,79
1590879371,83,96
1590881291,80,85
1590883354,71,99
1590885199,151,312
1590887090,105,82
1590888993,103,87
1590890915,76,91
1590892829,79,92
1590894739,87,82
1590896657,107,103
1590898576,113,75
1590900499,97,84
1590902415,80,83
1590904341,75,59
1590906266,102,65
1590908216,88,75
1590910096,79,72
1590912146,67,85
1590914172,85,94
1590916346,74,89
1590918259,95,53
1590920210,100,96
1590922112,88,78
1590924018,69,88
1590925938,94,76
1590927870,80,83
1590929800,65,65
1590931696,28,73
1590933876,23,45
1590935779,103,78
1590937734,206,56
1590939616,86,64
1590941536,85,75
1590943463,98,77
1590945373,70,78
1590947296,146,68
1590949214,123,62
1590951135,96,72
1590953059,81,101
1590954972,110,86
1590956895,63,80
1590958995,137,90
1590960986,131,73
1590963030,128,96
1590964836,159,84
1590966741,490,79
1590968662,731,92
1590970595,579,115
1590972528,687,85
1590974502,575,88
1590976340,664,74
1590978272,529,106
1590980201,630,79
1590982097,630,66
1590984310,697,96
1590986277,625,103
1590988101,532,62
1590990018,677,72
1590991972,572,87
1590994007,339,74
1590995821,243,63
1590997731,296,49
1590999621,123,79
1591001543,67,60
1591003477,64,75
1591005412,82,69
1591007326,69,70
1591009465,85,78
1591011380,64,78
1591013299,63,102
1591015231,68,69
1591017142,72,60
1591019079,96,25
1591020981,79,25
1591022913,58,72
1591024830,55,75
1591026741,57,78
1591028662,65,53
1591030591,74,51
1591032532,63,80
1591034632,73,88
1591036592,70,84
1591038520,63,60
1591040422,66,50
1591042340,48,93
1591044315,64,82
1591046183,62,64
1591048110,77,92
1591050162,85,88
1591052195,93,272
1591054094,73,611
1591056979,98,984
1591058895,63,638
1591060829,67,568
1591062734,77,685
1591064687,70,556
1591066601,49,640
1591068504,86,680
1591070655,79,694
1591072578,72,654
1591074513,83,567
1591076414,72,679
1591078343,75,574
1591080273,1262,343
1591082214,1460,296
1591084097,1180,296
1591086072,1070,94
1591087940,1100,48
1591089865,1078,61
1591091788,1445,45
1591093698,681,49
1591095859,50,50
1591097778,35,59
1591100017,36,53
1591101862,56,54
1591103777,44,39
1591105746,46,57
1591107623,41,42
1591109539,37,43
1591111535,37,32
1591113379,30,35
1591115299,54,56
1591117384,45,38
1591119390,40,44
1591121305,47,43
1591123221,56,37
1591125154,43,34
1591127060,41,47
1591128981,28,63
1591130930,34,32
1591132839,48,47
1591134753,35,47
1591136696,50,58
1591138575,44,51
1591140746,46,45
1591142699,37,59
1591144605,45,55
1591146505,52,39
1591148421,37,49
1591150355,41,41
1591152290,48,42
1591154184,41,37
1591156113,37,51
1591158060,44,41
1591159961,46,32
1591161876,33,44
1591163799,34,42
1591166025,52,679
1591167877,38,1456
1591169794,44,1289
1591171718,70,1010
1591173625,62,1176
1591175554,53,1078
1591177461,65,1531
1591179650,85,1221
1591181558,236,97
1591183526,203,88
1591185434,70,85
1591187556,86,90
1591189533,95,77
1591191448,76,58
1591193311,76,72
1591195235,83,67
1591197094,83,69
1591199057,63,79
1591201291,84,96
1591203155,111,81
1591205063,105,78
1591206991,85,82
1591208897,69,86
1591211086,81,99
1591212982,102,94
1591214918,85,65
1591216830,70,71
1591218749,66,85
1591220679,80,86
1591222601,58,74
1591224504,89,82
1591226419,84,79
1591228351,86,91
1591230322,72,77
1591232187,61,66
1591234114,85,82
1591236211,80,76
1591238189,72,107
1591240367,85,109
1591242272,98,72
1591244177,66,95
1591246113,103,100
1591248027,55,77
1591249938,69,78
1591251873,58,65
1591253781,74,74
1591255698,95,85
1591257788,92,83
1591259786,75,97
1591261962,75,78
1591263859,76,80
1591266027,85,96
1591267962,91,238
1591269881,67,207
1591271802,76,87
1591273709,76,68
1591275859,85,83
1591277779,83,92
1591279712,47,90
1591281614,64,89
1591283533,58,87
1591285469,56,91
1591287382,68,98
1591289318,64,90
1591291231,48,86
1591293136,8,91
1591295057,18,92
1591296994,72,68
1591298893,80,80
1591301077,68,116
1591302975,92,87
1591304921,114,89
1591306821,81,91
1591308733,70,90
1591310669,82,82
1591312583,95,102
1591314491,110,86
1591316425,95,82
1591318337,81,83
1591320253,117,90
1591322188,82,92
1591324097,87,81
1591326207,89,89
1591328172,95,104
1591330105,76,93
1591332013,90,79
1591334176,96,85
1591336096,85,63
1591338032,71,71
1591339939,174,86
1591341929,194,109
1591343827,80,109
1591345695,81,97
1591347776,60,88
1591349776,59,84
1591351732,94,93
1591353622,63,76
1591355530,67,88
1591357471,62,77
1591359379,83,102
1591361293,91,81
1591363256,93,80
1591365138,57,58
1591367054,73,84
1591368985,65,66
1591370893,72,67
1591373770,112,112
1591375691,69,60
1591377629,62,54
1591379573,78,41
1591381454,68,29
1591383381,65,55
1591385292,109,65
1591387309,77,56
1591389146,66,47
1591391012,77,65
1591392969,84,70
