DateTime,AddedIPs,RemovedIPs
1590546035,3,4
1590547959,1,6
1590549877,1,5
1590551809,1,2
1590553701,2,1
1590555900,3,4
1590557809,2,2
1590559720,5,4
1590561630,3,3
1590563570,2,3
1590565499,2,5
1590567571,3,4
1590569577,5,6
1590571473,4,1
1590573375,4,3
1590575407,4,4
1590577466,3,1
1590579385,2,2
1590581299,3,3
1590583285,4,2
1590585397,2,6
1590587303,3,4
1590589232,5,6
1590591251,2,5
1590593067,3,8
1590595002,3,7
1590596898,5,4
1590598999,5,5
1590600846,3,2
1590602793,2,6
1590604811,8,2
1590606985,4,5
1590608901,2,4
1590610844,5,8
1590612743,4,6
1590614705,4,5
1590616578,8,2
1590618499,4,5
1590620724,6,2
1590622575,4,3
1590624498,6,1
1590626413,6,3
1590628344,6,6
1590630266,5,4
1590632178,1,2
1590634352,6,2
1590636261,4,1
1590638211,3,1
1590640120,4,2
1590642054,2,3
1590643976,2,0
1590645902,2,7
1590647775,7,3
1590649716,5,2
1590651638,5,2
1590653790,6,3
1590655705,2,3
1590657655,2,6
1590659542,3,4
1590661467,3,3
1590663395,6,4
1590665593,5,2
1590667584,5,3
1590669417,4,4
1590671330,2,2
1590673243,7,3
1590675147,7,3
1590677102,6,4
1590679289,7,3
1590681158,5,2
1590683102,2,6
1590684996,8,4
1590686903,1,4
1590689010,5,2
1590690975,5,8
1590692940,4,3
1590694817,7,3
1590696734,6,5
1590698672,3,4
1590700578,2,3
1590702753,4,6
1590704664,2,7
1590706593,2,5
1590708513,5,4
1590710670,4,6
1590712589,1,6
1590714766,6,7
1590716665,4,5
1590718730,2,1
1590720756,3,6
1590722665,3,4
1590724582,6,3
1590726503,2,4
1590728659,0,3
1590730579,0,2
1590732756,0,1
1590734664,0,7
1590736587,0,6
1590738519,3,5
1590740425,2,5
1590742343,3,2
1590745462,6,5
1590747622,4,3
1590749545,1,6
1590751465,4,3
1590753383,7,6
1590755313,1,4
1590757477,4,3
1590759409,0,7
1590761563,5,7
1590763477,0,6
1590765380,4,6
1590767314,4,6
1590769227,2,1
1590771139,3,8
1590773076,6,2
1590775003,4,4
1590776899,3,5
1590780036,6,8
1590781947,1,6
1590783874,2,5
1590785784,4,2
1590787702,4,2
1590789930,5,5
1590791788,5,2
1590793705,3,3
1590795661,4,5
1590797548,4,1
1590799469,4,2
1590801381,4,6
1590803318,5,3
1590805241,5,2
1590807170,2,3
1590809073,8,3
1590810985,4,6
1590812906,4,2
1590815788,6,0
1590817697,4,0
1590819639,2,0
1590821572,5,0
1590823460,1,3
1590825423,2,1
1590827297,0,1
1590829358,4,3
1590831172,3,5
1590833117,5,2
1590834984,4,4
1590836900,2,3
1590838816,3,2
1590840781,2,7
1590842664,1,3
1590844606,2,1
1590846506,0,1
1590848448,0,4
1590850343,0,1
1590852265,0,5
1590854197,1,2
1590856096,4,3
1590858228,4,5
1590860174,4,5
1590862101,2,4
1590864024,1,2
1590865936,2,4
1590867865,1,1
1590869773,2,3
1590871694,1,3
1590873616,3,4
1590875647,4,6
1590877459,7,2
1590879371,1,4
1590881291,6,5
1590883370,2,3
1590885199,1,6
1590887091,2,3
1590888994,3,5
1590890916,5,5
1590892830,9,2
1590894739,4,8
1590896659,3,4
1590898576,3,5
1590900501,9,4
1590902416,6,4
1590904342,2,3
1590906266,4,3
1590908216,0,4
1590910096,5,2
1590912156,3,1
1590914173,2,0
1590916348,5,4
1590918260,0,4
1590920210,4,7
1590922113,7,1
1590924019,7,3
1590925939,3,3
1590927870,0,1
1590929800,6,2
1590931697,4,1
1590933887,4,0
1590935779,3,0
1590937735,2,0
1590939616,2,0
1590941536,1,3
1590943466,4,2
1590945373,4,5
1590947298,4,3
1590949214,3,2
1590951135,4,2
1590953059,10,1
1590954973,3,3
1590956897,2,0
1590959001,2,4
1590960987,0,3
1590963030,3,5
1590964837,6,3
1590966741,2,4
1590968662,3,5
1590970596,4,1
1590972529,2,1
1590974502,2,3
1590976340,4,4
1590978272,4,10
1590980204,2,4
1590982098,3,4
1590984311,5,2
1590986278,2,7
1590988101,6,8
1590990019,4,3
1590991974,2,4
1590994009,3,0
1590995821,3,4
1590997731,1,3
1590999622,3,2
1591001544,5,3
1591003477,2,3
1591005413,4,0
1591007326,3,7
1591009468,3,7
1591011380,1,5
1591013299,3,2
1591015231,7,3
1591017142,6,6
1591019081,2,2
1591020982,1,4
1591022913,2,2
1591024830,4,3
1591026741,5,1
1591028662,4,3
1591030591,1,4
1591032532,3,6
1591034640,5,0
1591036593,6,4
1591038520,3,7
1591040423,4,7
1591042346,2,4
1591044316,4,1
1591046183,6,1
1591048111,7,1
1591050162,3,3
1591052196,3,5
1591054094,2,4
1591056979,9,5
1591058896,3,2
1591060833,4,2
1591062735,1,4
1591064687,4,4
1591066601,5,2
1591068507,3,3
1591070657,2,3
1591072579,1,3
1591074513,2,7
1591076414,2,4
1591078347,5,2
1591080273,3,3
1591082214,2,3
1591084097,1,1
1591086073,4,5
1591087941,2,3
1591089869,4,2
1591091789,4,4
1591093702,1,3
1591095876,3,3
1591097780,2,1
1591100018,5,3
1591101862,2,9
1591103778,4,5
1591105747,4,1
1591107626,3,1
1591109540,4,2
1591111536,6,4
1591113380,2,5
1591115301,1,4
1591117387,2,1
1591119391,2,5
1591121306,3,4
1591123227,2,6
1591125154,3,2
1591127061,3,5
1591128982,3,2
1591130930,1,4
1591132839,5,6
1591134753,3,6
1591136699,3,4
1591138575,1,2
1591140746,3,2
1591142699,4,9
1591144605,2,3
1591146506,2,3
1591148422,4,2
1591150356,5,3
1591152290,2,4
1591154187,2,4
1591156113,3,1
1591158060,6,2
1591159961,5,2
1591161876,4,3
1591163799,3,1
1591166026,4,5
1591167878,2,3
1591169794,3,2
1591171723,3,3
1591173626,1,2
1591175554,2,4
1591177462,2,3
1591179650,7,3
1591181559,2,2
1591183527,2,2
1591185434,1,4
1591187556,3,3
1591189533,2,5
1591191448,4,3
1591193311,2,4
1591195235,2,4
1591197101,3,3
1591199058,2,3
1591201291,5,2
1591203155,3,3
1591205067,4,1
1591206993,3,3
1591208898,4,2
1591211086,4,3
1591212982,2,3
1591214919,1,3
1591216830,1,2
1591218749,4,4
1591220679,5,4
1591222602,4,3
1591224504,4,1
1591226444,0,1
1591228352,2,6
1591230322,2,2
1591232188,4,2
1591234116,1,4
1591236212,4,4
1591238190,7,2
1591240367,4,3
1591242272,3,2
1591244178,2,6
1591246113,4,5
1591248027,4,4
1591249938,4,4
1591251874,0,1
1591253783,3,4
1591255699,5,3
1591257789,4,4
1591259786,3,1
1591261963,3,2
1591263859,2,2
1591266028,3,7
1591267962,4,2
1591269881,6,2
1591271802,2,1
1591273709,1,3
1591275860,2,1
1591277779,2,5
1591279713,2,2
1591281614,3,2
1591283534,2,3
1591285469,3,2
1591287386,3,5
1591289318,1,3
1591291231,0,3
1591293136,5,4
1591295057,1,4
1591296994,2,3
1591298894,2,3
1591301077,4,1
1591302976,4,1
1591304922,5,4
1591306821,5,4
1591308733,1,5
1591310670,7,4
1591312584,4,0
1591314492,2,2
1591316426,2,2
1591318337,3,3
1591320253,4,1
1591322189,5,5
1591324097,4,4
1591326213,4,7
1591328173,5,3
1591330105,2,1
1591332014,1,1
1591334176,2,8
1591336099,1,4
1591338032,2,0
1591339941,2,3
1591341933,3,4
1591343827,1,4
1591345698,2,2
1591347777,4,4
1591349777,5,3
1591351734,3,2
1591353623,3,3
1591355531,5,7
1591357471,1,2
1591359379,5,1
1591361293,4,2
1591363257,1,2
1591365139,2,1
1591367055,2,4
1591368986,3,2
1591370893,1,2
1591373770,7,5
1591375693,4,1
1591377629,4,0
1591379574,7,5
1591381455,1,1
1591383382,3,2
1591385293,4,2
1591387327,2,4
1591389147,4,3
1591391027,8,6
1591392970,4,4
1591394918,5,2
1591396819,4,5
1591398736,6,6
1591400667,5,2
1591402574,1,2
1591404493,4,1
1591406429,6,6
1591408380,2,4
1591410255,2,5
1591412187,2,2
1591414091,4,7
1591416184,4,2
1591418176,3,0
1591420099,4,3
1591422035,2,0
1591423937,2,3
1591425861,1,1
1591427778,3,4
1591429703,3,0
1591431610,2,3
1591433532,3,3
1591435467,5,2
1591437369,2,5
1591439324,5,3
1591441288,3,7
1591443142,1,1
1591445052,4,3
1591446985,4,5
1591448902,1,1
1591450812,2,2
1591452749,2,1
1591454696,4,4
1591456572,3,1
1591458504,5,3
1591460412,5,6
1591462335,6,3
1591464270,2,6
1591466177,1,6
1591468090,6,0
1591470999,7,6
1591472905,6,1
1591474826,3,6
1591476738,6,6
1591478672,3,4
1591480580,4,7
1591482502,6,3
1591485373,5,8
1591487307,3,4
1591489215,3,2
1591491178,4,4
1591493072,3,6
1591495948,6,3
1591497873,5,0
1591499776,4,4
1591501713,2,4
1591503617,1,3
1591505536,2,3
1591507468,0,4
1591509389,7,2
1591511298,5,1
1591513321,1,2
1591515136,4,4
1591517316,3,3
1591519212,2,1
1591521151,3,5
1591523053,5,3
1591524976,1,3
