DateTime,AddedIPs,RemovedIPs
1587876991,0,2
1587881101,0,1
1587882993,0,2
1587884920,0,1
1587890673,0,1
1587892577,0,1
1587898351,1,1
1587902185,1,0
1587904360,1,0
1587918038,1,1
1587925710,0,1
1587927779,1,0
1587931712,0,1
1587939619,1,0
1587941548,1,0
1587955459,1,0
1587959306,1,0
1587966490,1,0
1587968422,1,0
1587976100,1,0
1587980026,0,1
1587985708,0,1
1587987631,0,1
1587991476,0,1
1587995321,1,0
1588004933,0,1
1588014794,0,1
1588026278,1,2
1588037140,1,0
1588042990,0,1
1588047168,0,1
1588052922,0,1
1588054828,1,1
1588058733,1,0
1588062510,0,1
1588076914,1,0
1588081717,0,1
1588089943,1,0
1588099478,1,0
1588112904,0,1
1588121562,1,0
1588123480,0,1
1588127311,1,0
1588137153,1,0
1588140987,0,1
1588142925,1,0
1588144838,0,1
1588160665,2,0
1588162847,1,0
1588164737,0,1
1588166694,1,0
1588170495,1,0
1588172553,1,0
1588176325,0,1
1588180102,1,0
1588185929,0,1
1588189718,1,0
1588195466,1,0
1588206984,0,1
1588210988,1,0
1588214906,1,1
1588222992,1,1
1588224977,1,0
1588230991,0,1
1588236757,2,0
1588240595,1,0
1588248523,0,3
1588252371,1,0
1588254284,1,1
1588258375,0,2
1588262194,1,0
1588266279,0,1
1588276134,0,1
1588281869,0,1
1588283775,1,0
1588293623,1,0
1588297457,1,0
1588301545,0,1
1588303473,1,0
1588305420,0,1
1588310186,0,2
1588312363,1,0
1588316309,1,0
1588318351,1,0
1588322181,0,2
1588326045,0,1
1588337815,1,1
1588339707,1,1
1588341945,1,0
1588359390,1,0
1588371445,0,1
1588379084,0,1
1588386033,1,2
1588389933,0,1
1588399960,0,1
1588403784,0,2
1588418182,2,0
1588423955,0,1
1588425914,1,0
1588427778,0,1
1588429718,0,1
1588437871,1,0
1588443643,1,0
1588445548,0,1
1588469065,1,0
1588471041,0,1
1588486581,1,0
1588500168,1,0
1588504355,0,2
1588513939,0,1
1588523780,0,1
1588529538,1,1
1588542975,1,0
1588548976,1,0
1588554742,1,0
1588556693,1,1
1588558591,2,0
1588560499,1,0
1588572118,3,0
1588574009,0,1
