DateTime,AddedIPs,RemovedIPs
1587900261,21,21
1587908474,15,26
1587915379,25,14
1587922586,24,20
1587930489,23,27
1587937243,19,18
1587945135,31,32
1587952578,33,49
1587960027,44,35
1587967717,24,20
1587974659,16,26
1587981869,23,23
1587989299,17,25
1587996748,16,20
1588003935,31,21
1588011141,34,21
1588018342,19,22
1588026259,8,38
1588033697,27,36
1588041386,47,59
1588048595,45,35
1588056498,28,19
1588063701,17,18
1588070894,22,26
1588077868,25,21
1588085536,26,26
1588092978,18,21
1588100178,19,22
1588107377,28,26
1588115300,20,18
1588122024,38,20
1588129233,46,78
1588137139,32,24
1588144340,20,20
1588151547,21,28
1588158974,13,18
1588166417,27,21
1588173864,25,29
1588181301,29,32
1588188745,21,18
1588195937,21,21
1588203141,24,38
1588211298,39,37
1588218019,57,51
1588225457,33,25
1588232900,30,148
1588240097,33,28
1588247299,16,21
1588254979,15,24
1588262179,20,24
1588269623,24,28
1588276824,26,22
1588284743,22,49
1588291946,25,0
1588299150,49,51
1588306830,41,57
1588314500,21,12
1588321694,20,29
1588329381,30,17
1588336614,25,22
1588344486,18,27
1588351224,22,23
1588358657,16,30
1588365860,21,27
1588373294,18,33
1588380496,36,51
1588387698,48,38
1588395627,31,23
1588402338,26,0
1588410731,19,38
1588417937,28,26
1588425152,20,20
1588433058,13,35
1588440256,18,27
1588447462,20,17
1588454661,24,25
1588462095,22,33
1588469540,34,53
1588476742,52,27
1588483951,18,8
1588491377,19,24
1588498578,16,15
1588506496,22,19
1588513457,17,15
1588520655,19,20
1588527856,28,21
1588535775,26,31
1588543227,19,27
1588550911,24,49
1588558097,50,44
1588565551,43,32
1588572739,25,18
1588579949,17,23
1588587621,20,24
1588594816,22,24
1588602258,17,15
1588610178,23,28
1588617381,28,26
1588624578,25,23
1588632494,15,35
1588639697,24,51
1588646895,55,35
1588654094,37,18
1588661297,20,0
1588668729,19,44
1588676414,26,15
1588683625,14,24
1588691074,16,20
1588698501,27,25
1588705698,15,25
1588713140,27,14
1588720338,17,33
1588727782,40,51
1588734978,54,38
1588742417,33,19
1588749618,14,14
1588757547,32,18
1588764746,25,18
1588771944,15,24
1588779376,25,30
1588786579,39,33
1588794494,35,34
1588801699,24,28
1588808894,20,42
1588816094,52,0
1588824024,49,82
1588831226,27,12
1588838420,18,20
1588846347,36,13
1588853540,15,23
1588860742,30,24
1588867941,23,22
1588875141,53,24
1588883059,19,28
1588890259,17,33
1588897460,29,51
1588905144,55,145
1588912344,35,10
1588919624,28,13
1588927451,20,17
1588934663,25,21
1588941859,23,20
1588949059,20,0
1588956260,20,36
1588963695,30,30
1588971624,34,22
1588978824,17,38
1588986024,35,45
1588993227,53,28
1589001137,29,16
1589008338,21,19
1589015543,21,38
1589022740,21,21
1589029937,26,0
1589037142,12,12
1589044585,23,23
1589052015,20,30
1589059216,28,27
1589067145,23,54
1589074342,39,59
1589081688,45,26
1589088969,25,12
1589096180,22,13
1589103618,20,22
1589111299,31,22
1589118500,16,20
1589125463,27,20
1589132896,24,32
1589140340,23,0
1589147774,14,22
1589155223,21,18
1589162422,51,44
1589169618,42,46
1589176830,33,20
1589184029,19,16
1589191461,30,14
1589198904,21,25
1589206343,25,26
1589213785,31,31
1589220506,33,21
1589227702,37,25
1589234900,24,17
1589242104,28,23
1589249310,49,71
1589256737,30,36
1589264659,20,15
1589271860,23,12
1589278815,25,23
1589286033,27,15
1589293220,16,23
1589300421,26,20
1589307615,26,25
1589314818,29,16
1589322257,19,19
1589329941,34,36
1589337140,49,50
1589344340,40,36
1589351784,24,13
1589359214,25,28
1589365953,28,20
1589373381,31,19
1589380583,14,20
1589388263,32,26
1589395462,24,29
1589402886,24,37
1589410576,22,21
1589417775,45,47
1589424966,56,44
1589432229,32,31
1589439377,23,15
1589446576,24,19
1589453778,22,20
1589461219,21,21
1589469188,28,14
1589476110,26,22
1589483543,34,29
1589490746,28,21
1589497948,14,22
1589505378,38,58
1589512099,55,38
1589519310,26,26
1589526511,22,17
1589533716,20,26
1589541390,22,20
1589548112,65,21
1589555079,36,22
1589562511,30,28
1589569700,25,24
1589576903,27,20
1589584112,12,31
1589592017,34,48
1589599216,51,33
1589606417,33,11
1589613616,13,17
1589620823,16,15
1589628260,28,14
1589635460,24,17
1589642660,21,23
1589649860,23,28
