DateTime,AddedIPs,RemovedIPs
1590640476,0,31
1590642275,1,71
1590643538,2,0
1590644696,38,13
1590646420,10,11
1590647683,5,12
1590649668,23,51
1590651311,9,19
1590654876,50,114
1590656086,6,6
1590657473,18,19
1590658482,5,5
1590659596,15,7
1590664765,21,63
1590665677,4,1
1590668548,39,80
1590669270,6,7
1590670518,15,6
1590671808,9,33
1590672879,15,31
1590674269,28,3
1590675533,20,28
1590677437,31,51
1590678916,5,60
1590680072,1,5
1590681537,27,64
1590683133,6,2
1590683675,0,8
1590685413,12,66
1590686747,6,1
1590688239,13,10
1590689776,8,53
1590690869,5,7
1590692729,16,56
1590694459,6,17
1590695599,22,8
1590697532,15,41
1590698071,0,7
1590699828,20,23
1590701670,30,5
1590705274,23,18
1590708341,22,26
1590708871,13,5
1590710725,55,10
1590712476,14,10
1590715144,26,25
1590716680,52,7
1590718308,5,23
1590720650,50,6
1590723271,10,14
1590724538,16,1
1590726227,3,5
1590726880,2,6
1590729941,12,30
1590731181,27,5
1590732561,21,22
1590734073,8,21
1590735477,10,6
1590737145,1,11
1590737683,1,7
1590739045,48,0
1590740557,2,25
1590742241,24,6
1590743442,3,19
1590744504,7,3
1590744877,2,27
1590747032,29,21
1590748472,6,9
1590749784,23,5
1590751121,5,18
1590752073,4,7
1590755147,45,45
1590755683,4,5
1590757710,46,18
1590759275,14,4
1590761214,16,17
1590762868,7,11
1590766470,30,59
1590769186,33,41
1590770629,16,11
1590772614,37,4
1590773668,15,18
1590775856,36,12
1590777269,8,10
1590779731,18,48
1590780871,12,2
1590782037,6,9
1590783199,4,17
1590785436,22,11
1590788068,9,9
1590789453,11,1
1590791166,34,9
1590791676,0,10
1590794605,5,25
1590795279,1,31
1590797320,20,16
1590799837,57,25
1590801424,2,35
1590802533,25,3
1590804446,4,52
1590806066,28,4
1590808262,15,12
1590809672,1,19
1590811401,45,5
1590813270,3,7
1590815866,4,42
1590816869,0,7
1590819925,31,17
1590821426,15,10
1590823527,18,34
1590824995,30,17
1590827664,31,18
1590829869,40,15
1590831265,13,2
1590832860,7,18
1590834863,21,12
1590837059,9,16
1590838465,2,29
1590841524,8,12
1590842571,11,18
1590845666,14,48
1590847697,17,29
1590849112,9,11
1590849264,0,1
1590850753,18,24
1590852329,20,3
1590853826,16,11
1590856465,27,9
1590857718,11,16
1590859333,44,9
1590861031,51,14
1590863667,14,14
1590866243,26,26
1590868307,23,10
1590870327,17,13
1590871825,33,32
1590873924,10,11
1590875427,18,5
1590877526,6,17
1590878703,12,43
1590881663,23,56
1590882458,16,11
1590884727,12,6
1590886231,16,57
1590888326,22,21
1590889833,17,21
1590892465,33,39
1590895419,54,20
1590896065,5,3
1590897189,55,2
1590899667,40,16
1590903264,26,48
1590904421,26,1
1590906332,47,5
1590906862,8,3
1590907715,12,6
1590909583,13,40
1590910469,10,4
1590912600,12,25
1590914065,10,11
1590916250,15,15
1590917662,0,23
1590920499,50,19
1590921267,18,4
1590923897,9,24
1590924867,6,39
1590927144,8,44
1590928470,9,12
1590931168,43,20
1590933143,5,14
1590934393,2,12
1590935665,1,8
1590937610,39,33
1590939265,1,9
1590941294,11,13
1590942485,2,0
1590943829,17,69
1590946464,20,25
1590948815,6,30
1590950065,32,5
1590951878,16,11
1590953129,14,0
1590954613,10,17
1590955937,2,3
1590957272,2,4
1590960868,24,73
1590963254,20,19
1590964453,6,5
1590966238,6,10
1590967522,1,2
1590969029,15,61
1590970481,4,0
1590971665,3,8
1590975263,23,44
1590977736,16,11
1590978866,7,1
1590982469,63,44
1590984203,51,3
1590986066,47,3
1590989664,37,21
1590991136,37,10
1590992612,13,4
1590993265,19,12
1590995548,65,49
1590996870,22,9
1590999400,28,43
1591001429,25,12
1591002943,17,9
1591004498,18,8
1591006611,14,6
1591007663,52,5
1591008789,26,15
1591010725,17,2
1591012226,19,11
1591013649,16,5
1591014864,5,3
1591017419,44,24
1591018470,11,9
1591021230,39,7
1591022064,0,22
1591024097,27,16
1591025666,32,11
1591028462,62,10
1591029266,39,55
1591030511,6,32
1591032333,2,24
1591032867,3,4
1591034078,10,4
1591035496,6,6
1591036463,1,10
1591038195,21,13
1591039524,6,3
1591041030,24,38
1591042898,7,15
1591044026,21,5
1591045613,7,19
1591047265,15,4
1591050133,13,18
1591050868,3,18
1591053116,19,12
1591055432,18,14
1591057227,13,6
1591058063,5,20
1591061131,41,11
1591062629,24,38
1591064132,5,25
1591065267,5,1
1591068328,28,59
1591069832,37,44
1591071817,26,5
1591072466,3,4
1591074193,16,33
1591076067,50,40
1591077741,52,14
1591079663,7,8
1591081544,58,17
1591082743,3,0
1591084209,21,9
1591085878,9,8
1591086872,10,4
1591089085,30,37
1591090474,4,12
1591091947,15,16
1591094073,33,8
1591096015,13,9
1591097675,41,6
1591099448,12,9
1591101273,25,33
1591103798,26,8
1591105833,19,8
1591107055,3,28
1591108243,2,4
1591109431,14,12
1591111534,4,4
1591113030,18,11
1591116630,37,20
1591118733,2,3
1591120229,45,44
1591121398,20,3
1591123272,62,21
1591125928,32,13
1591126467,27,1
1591127943,26,17
1591129118,37,6
1591131031,60,11
1591132641,27,19
1591133665,14,4
1591140328,118,19
1591140869,5,4
1591142127,39,15
1591143910,12,5
1591145436,62,12
1591146623,6,4
1591148068,7,11
1591150309,45,8
1591151669,17,45
1591155265,56,74
1591157552,62,35
1591158869,5,2
1591160176,7,28
1591161933,24,3
1591162470,2,3
1591164290,62,50
1591165526,23,2
1591167147,41,14
1591169668,12,11
1591171022,25,6
1591172210,5,8
1591173265,5,11
1591175074,34,14
1591176864,28,16
1591178718,92,38
1591180466,37,15
1591182172,33,22
1591184064,73,8
1591185777,34,26
1591187667,66,15
1591191268,68,46
1591192389,21,11
1591194330,49,10
1591194864,19,37
1591196001,26,15
1591197926,9,38
1591198465,0,18
1591199801,40,16
1591201527,9,9
1591202651,62,9
1591205669,86,25
1591207877,60,30
1591210225,49,25
1591212863,11,11
1591214207,43,10
1591215745,15,20
1591217103,44,14
1591219525,47,13
1591220062,17,3
1591221537,55,19
1591222740,14,1
1591223667,2,5
1591225736,30,17
1591227266,6,2
1591229025,40,15
1591230868,14,33
1591234464,79,24
1591235567,53,0
1591237525,7,18
1591238072,4,10
1591239215,27,5
1591241130,32,39
1591241667,33,5
1591242871,31,1
1591244006,9,7
1591245267,16,46
1591248200,100,47
1591249405,82,11
1591250867,3,51
1591252558,5,3
1591254060,22,28
1591255538,5,3
1591256068,4,6
1591259136,42,29
1591260745,36,12
1591264344,32,38
1591266871,5,58
1591269931,31,16
1591271434,11,20
1591273259,108,26
1591274070,3,8
1591276873,84,13
1591277672,7,3
1591278809,58,1
1591280730,24,26
1591281264,0,6
1591283921,63,20
1591284867,2,6
1591287770,59,32
1591288466,0,7
1591289738,31,28
1591291525,29,16
1591292064,6,36
1591293419,50,36
1591295130,10,7
1591295663,6,5
