DateTime,AddedIPs,RemovedIPs
1590651301,7,8
1590654871,11,13
1590656082,6,4
1590657463,10,7
1590658476,2,2
1590664759,5,9
1590665670,1,7
1590668543,15,10
1590669265,2,1
1590670512,3,4
1590671792,2,7
1590672875,3,7
1590674265,4,3
1590675522,9,3
1590677433,4,4
1590678899,5,1
1590680068,2,8
1590683129,7,8
1590683670,2,1
1590685405,3,7
1590686739,8,4
1590688234,3,2
1590689764,2,6
1590690865,3,4
1590692725,8,3
1590694455,13,13
1590695593,4,5
1590697526,6,9
1590698067,7,2
1590699814,7,5
1590701665,6,8
1590705270,13,9
1590708335,16,8
1590708867,3,4
1590710460,4,6
1590711930,12,5
1590712471,5,3
1590715138,14,16
1590716674,5,3
1590718305,8,6
1590720643,9,5
1590723267,6,5
1590724534,6,8
1590726224,12,7
1590726874,2,4
1590729936,21,10
1590731177,11,6
1590732553,7,6
1590734069,6,9
1590735473,4,10
1590737138,6,11
1590737679,4,1
1590739039,6,5
1590740550,7,11
1590742234,8,3
1590743433,0,2
1590744498,4,3
1590744872,5,2
1590747028,8,11
1590748467,9,9
1590749770,1,5
1590751116,9,3
1590752068,8,7
1590755141,16,12
1590755678,4,10
1590757707,9,11
1590759271,8,10
1590761211,3,14
1590762864,2,9
1590766466,7,12
1590769183,4,3
1590770625,3,4
1590772606,2,2
1590773665,4,8
1590775853,7,5
1590777266,0,7
1590779728,8,4
1590780867,5,6
1590782032,3,3
1590783194,1,3
1590785432,4,6
1590788064,11,3
1590789449,9,3
1590791672,8,9
1590794599,11,11
1590795273,5,5
1590797315,5,8
1590799833,8,9
1590801416,5,5
1590802528,3,4
1590804300,8,5
1590806062,1,5
1590808259,5,7
1590809668,5,1
1590811395,5,3
1590813266,6,8
1590815862,9,7
1590816865,6,5
1590819921,14,17
1590821422,7,9
1590823523,10,8
1590824991,2,3
1590827661,5,8
1590829861,6,6
1590831261,7,1
1590832855,1,3
1590834860,4,5
1590837055,5,5
1590838461,10,5
1590841522,9,10
1590842567,5,4
1590845122,9,3
1590845662,3,0
1590847694,3,3
1590849093,5,7
1590849261,1,1
1590850744,9,1
1590852326,1,6
1590853822,0,9
1590856462,0,12
1590857715,2,1
1590859329,0,3
1590861027,2,3
1590863663,2,3
1590866240,10,6
1590868302,10,8
1590870324,14,7
1590871821,12,6
1590873921,8,7
1590875424,8,5
1590877523,8,5
1590878695,2,8
1590881659,12,9
1590882454,2,3
1590884723,5,7
1590886226,8,3
1590888322,15,3
1590889828,8,10
1590892460,15,8
1590895416,5,22
1590896062,3,2
1590897181,1,8
1590899663,18,8
1590903260,11,16
1590904418,6,3
1590906327,9,8
1590906859,5,5
1590907712,4,3
1590909579,7,3
1590910465,11,3
1590912596,8,7
1590914061,5,4
1590916247,5,10
1590917659,7,13
1590920495,3,13
1590921263,0,3
1590923893,12,8
1590924864,8,4
1590927140,11,5
1590928466,2,6
1590931165,6,2
1590933140,4,1
1590935661,1,3
1590937606,9,6
1590939262,3,7
1590941291,4,2
1590942481,5,2
1590943825,9,3
1590946461,15,10
1590948812,6,17
1590950061,2,6
1590951875,5,5
1590953124,7,3
1590954609,4,3
1590955932,2,4
1590957267,7,5
1590960863,21,12
1590963246,7,9
1590964448,6,10
1590966230,6,5
1590969025,7,16
1590970477,12,5
1590971661,14,6
1590975260,37,12
1590977729,12,11
1590978861,4,6
1590980459,6,8
1590981926,4,5
1590982464,3,2
1590984186,7,5
1590986062,10,14
1590991133,18,18
1590992609,7,5
1590993261,3,6
1590995545,7,11
1590996866,7,13
1590998455,9,9
1590999908,4,10
1591001426,7,6
1591002939,6,4
1591004464,11,6
1591006607,19,10
1591007660,10,10
1591008781,9,6
1591010721,8,13
1591012223,4,4
1591014861,6,10
1591017413,14,6
1591018466,5,15
1591021226,12,21
1591022060,2,1
1591024094,14,10
1591025662,7,10
1591028457,13,13
1591029262,3,5
1591030508,7,12
1591032324,8,16
1591032863,1,4
1591034075,11,7
1591035491,6,1
1591036461,4,4
1591038180,24,8
1591039521,11,5
1591041026,13,11
1591042893,9,7
1591044020,9,5
1591045610,14,7
1591047261,16,4
1591050124,7,21
1591050864,1,4
1591053112,7,12
1591055428,14,8
1591057222,4,9
1591058060,7,1
1591061127,11,12
1591062626,5,4
1591064122,2,4
1591065263,4,5
1591068325,18,17
1591069829,20,5
1591071811,9,11
1591072463,3,5
1591074182,7,6
1591076063,10,5
1591077728,11,9
1591079660,11,13
1591081541,7,7
1591082738,1,5
1591084201,3,9
1591085875,8,7
1591086867,2,5
1591089081,14,7
1591090468,7,2
1591091943,12,7
1591094068,13,10
1591096007,10,11
1591097671,6,11
1591099436,4,5
1591101269,3,8
1591103793,8,9
1591105828,5,5
1591107051,7,5
1591108237,5,2
1591109428,4,5
1591111531,8,6
1591113026,10,7
1591115122,11,13
1591116627,8,3
1591118728,8,10
1591120225,11,7
1591121389,3,10
1591123265,5,12
1591124461,3,2
1591126462,5,7
1591127939,7,2
1591129115,10,4
1591131027,10,13
1591132638,9,4
1591133661,1,5
1591137262,19,18
1591140864,21,16
1591142124,10,6
1591143901,9,9
1591145432,9,6
1591146619,12,4
1591148064,5,11
1591150304,7,8
1591151665,3,2
1591155262,10,16
1591157547,6,10
1591158865,3,3
1591160167,4,8
1591161928,3,8
1591162465,2,5
1591164280,8,5
1591165522,11,6
1591167142,7,4
1591169665,7,20
1591171019,8,6
1591172204,8,5
1591173262,8,4
1591175063,15,7
1591176861,5,10
1591178714,7,14
1591180463,14,2
1591183525,13,13
1591184061,3,3
1591185771,6,8
1591187661,6,10
1591191263,15,20
1591192382,6,4
1591194325,7,6
1591194860,5,4
1591195996,8,5
1591197922,11,13
1591198461,5,3
1591199797,5,10
1591201523,2,10
1591202644,4,10
1591205664,5,11
1591207873,4,16
1591210221,7,7
1591212859,7,9
1591214204,5,6
1591215742,5,8
1591217098,6,11
1591219522,10,10
1591220058,2,1
1591221531,5,10
1591222736,1,9
1591223663,3,11
1591225259,3,13
1591226723,4,3
1591227263,2,1
1591229021,13,5
1591230864,11,5
1591234460,15,6
1591235563,12,4
1591237520,7,10
1591238066,14,5
1591239211,7,5
1591241126,7,6
1591241663,7,1
1591242866,7,6
1591244002,5,4
1591245263,1,12
1591248194,9,8
1591249400,5,3
1591250857,9,3
1591252553,10,9
1591254054,7,6
1591255534,5,5
1591256064,0,5
1591259130,8,12
1591260740,13,14
1591262729,8,10
1591264340,5,11
1591266866,13,10
1591269927,17,13
1591271430,9,8
1591273255,10,3
1591274065,6,7
1591276869,12,8
1591277667,2,7
1591278804,4,1
1591280725,11,7
1591281261,4,3
1591283917,11,6
1591284864,5,6
1591287766,10,12
1591288462,4,4
1591289734,5,11
1591291521,8,2
1591292061,1,0
1591293416,7,7
1591295124,7,22
1591295659,1,10
1591297587,1,19
1591299264,1,10
1591301457,3,7
1591302865,3,6
1591304737,4,8
1591306465,5,1
1591309525,12,9
1591311025,5,3
1591313101,8,6
1591314626,14,3
1591316724,13,7
1591318223,3,8
1591320865,13,7
1591323925,11,7
1591325426,5,8
1591328066,7,5
1591331086,8,5
1591332627,6,12
1591333775,8,2
1591336226,11,5
1591337819,6,7
1591338959,7,9
1591340934,7,7
1591342470,6,5
1591345377,4,4
1591346068,4,4
1591348668,19,14
1591349665,9,3
1591353261,9,12
1591355684,8,6
1591356862,8,1
1591359472,9,8
1591360838,7,5
1591362054,8,4
1591364064,8,8
1591365878,13,7
1591367128,9,8
1591368628,9,11
1591371264,15,13
1591372806,2,3
1591374320,4,5
1591375428,5,2
1591377920,8,8
1591378461,2,1
1591380776,5,13
1591382658,2,8
1591385662,11,10
1591386792,7,6
1591388199,13,9
1591389263,12,8
1591390859,10,9
1591392324,14,12
1591393932,6,9
1591396464,9,11
1591398051,7,7
1591399415,13,3
1591400063,7,6
1591403664,18,21
1591410324,25,27
1591411494,0,1
1591413332,8,8
1591417524,19,16
1591418063,2,4
1591421125,10,9
1591422623,6,6
1591425261,11,10
1591426858,5,6
1591428861,4,7
1591430242,7,7
1591431920,6,8
1591433266,6,9
1591434669,4,4
1591437136,12,15
1591439664,11,8
1591440809,6,7
1591442721,8,6
1591443270,5,4
1591444857,4,13
1591446322,3,5
1591447701,5,6
1591448962,3,5
1591451422,11,9
1591452969,12,4
1591454455,4,10
1591456880,14,11
1591457662,4,5
1591461262,9,13
1591462859,5,5
1591464321,8,6
1591464861,1,1
1591466461,3,5
1591467925,5,5
1591468461,2,0
1591469958,0,6
1591471080,2,3
1591472061,8,4
1591473702,1,4
1591475666,10,7
1591479264,24,15
1591481196,13,7
1591482866,10,10
1591484615,9,7
1591486463,8,8
1591489527,15,16
1591490657,2,3
1591493666,14,8
1591497265,21,11
1591499794,18,12
1591501467,4,14
1591503929,4,12
1591504468,1,6
1591506093,2,6
1591508070,5,2
1591509296,3,6
1591510738,7,3
1591512284,4,6
1591513479,8,5
1591515265,2,8
1591516996,5,10
1591518866,8,12
1591520476,7,1
1591522467,20,6
1591525357,15,16
