DateTime,AddedIPs,RemovedIPs
1589941533,0,1
1589942070,1,3
1589945130,3,0
1589946629,1,0
1589949266,1,1
1589956473,0,1
1589959558,1,0
1589960779,0,1
1589967271,0,2
1589973927,1,0
1589976174,18,1
1589977355,7,0
1589978074,0,1
1589981121,4,1
1589983533,0,1
1589985266,1,3
1589987549,1,2
1589989119,5,1
1589991927,12,1
1589992465,2,0
1589993566,2,0
1589995524,12,0
1589996809,7,0
1589999664,7,0
1590002731,0,1
1590004068,0,1
1590005426,1,0
1590016934,2,5
1590017663,0,1
1590021265,0,1
1590024868,3,2
1590030391,0,1
1590032071,3,0
1590035666,1,0
1590041362,1,0
1590042867,0,1
1590045397,0,1
1590047860,1,0
1590050067,1,1
1590053394,1,3
1590055969,0,1
1590058672,0,1
1590080337,1,0
1590082465,1,0
1590088819,0,1
1590089664,1,0
1590090901,1,0
1590092726,1,0
1590096865,1,0
1590104069,0,1
1590107037,1,0
1590117929,1,0
1590118470,4,0
1590130733,0,1
1590133761,0,1
1590134997,1,0
1590136222,4,0
1590137471,6,1
1590140068,1,2
1590142367,1,0
1590143663,1,0
1590145252,0,2
1590149379,1,0
1590151719,0,24
1590153193,0,6
1590154467,0,2
1590155845,0,2
1590158062,0,5
1590160369,0,9
1590161663,0,8
1590163966,0,11
1590165527,25,11
1590166800,5,10
1590168308,2,2
1590169806,2,3
1590171166,2,1
1590172467,3,0
1590173921,6,1
1590175527,7,0
1590177029,8,1
1590178389,11,1
1590179669,8,1
1590181968,12,0
1590183265,1,0
1590189169,1,0
1590190463,0,1
1590192229,0,2
1590196371,1,0
1590202794,0,1
1590213131,0,1
1590217966,0,2
1590220672,1,0
1590224005,1,0
1590225188,0,1
1590226753,0,3
1590227933,1,0
1590230067,1,1
1590232382,1,0
1590233950,0,1
1590235306,0,1
1590237266,2,1
1590239608,0,1
1590243729,1,0
1590254260,1,1
1590261166,0,1
1590267346,1,0
1590276863,0,1
1590280463,0,1
1590285998,1,0
1590287666,0,3
1590289042,0,1
1590291271,0,1
1590295130,1,0
1590298463,0,1
1590300768,1,0
1590309539,0,1
1590310757,0,1
1590316465,0,1
1590320064,0,1
1590321657,1,0
1590330624,0,2
1590333190,4,0
1590335933,4,30
1590338064,1,4
1590339714,0,2
1590341666,1,6
1590343966,4,10
1590345264,1,8
1590346860,1,12
