DateTime,AddedIPs,RemovedIPs
1591163974,10,5
1591164693,7,2
1591165413,4,8
1591166133,2,3
1591166853,7,3
1591167573,7,7
1591168293,5,5
1591169013,9,3
1591169732,5,3
1591170452,5,9
1591171172,4,4
1591171893,5,3
1591172613,5,5
1591173334,7,7
1591174053,5,5
1591174773,4,6
1591175493,13,4
1591176213,6,8
1591176934,4,2
1591177653,5,9
1591178373,1,7
1591179093,4,7
1591179813,1273,4
1591180533,4,6
1591181253,8,4
1591181973,2,6
1591182693,8,9
1591183413,6,7
1591184134,25,11
1591184852,25,1
1591185574,9,7
1591186293,16,7
1591187014,4,8
1591187733,7,5
1591188454,5,10
1591189173,11,9
1591189893,15,12
1591190613,9,2
1591191333,5,12
1591192053,5,10
1591192773,9,4
1591193493,5,7
1591194213,2,3
1591194933,2,6
1591195654,5,3
1591196373,3,8
1591197333,8,3
1591198054,2,4
1591198773,162,6
1591199493,5,4
1591200213,6,11
1591200933,2,6
1591201653,6,11
1591202373,5,11
1591203094,9,5
1591203813,0,6
1591204532,2,4
1591205253,1,6
1591205973,0,5
1591206694,6,4
1591207653,6,8
1591208373,2,5
1591209093,5,3
1591209813,7,7
1591210533,2,6
1591211253,4,8
1591211973,5,7
1591212692,5,4
1591213413,3,8
1591214132,7,4
1591214853,2,8
1591215573,3,7
1591216293,4,4
1591217013,5,6
1591217734,3,6
1591218453,7,4
1591219174,3,4
1591219893,7,6
1591220613,2,4
1591221333,3,9
1591222053,4,5
1591222773,9,11
1591223493,4,9
1591224213,3,9
1591225173,6,1
1591225893,3,3
1591226613,2,6
1591227334,3,10
1591228053,3,3
1591228773,5,7
1591229494,5,8
1591230214,4,8
1591231173,14,9
1591231893,7,6
1591232613,8,11
1591233333,5,3
1591234053,6,13
1591234773,8,1
1591235493,4,4
1591236454,6,11
1591237174,3,6
1591237893,6,1
1591238613,5,4
1591239334,4,6
1591240294,11,7
1591241013,7,4
1591241733,4,9
1591242453,4,4
1591243173,5,9
1591243893,9,7
1591244613,4,3
1591245333,7,4
1591246053,4,2
1591246772,1,1
1591247493,3,6
1591248213,8,6
1591248933,6,1
1591249653,8,4
1591250373,4,13
1591251093,5,6
1591251814,5,6
1591252533,13,2
1591253253,7,4
1591253973,7,9
1591254694,6,6
1591255413,5,7
1591256133,12,5
1591256853,6,6
1591257574,5,4
1591258294,5,4
1591259014,48,7
1591259734,5,10
1591260453,10,6
1591261173,7,4
1591261893,6,12
1591262613,120,9
1591263333,4,4
1591264054,6,4
1591264773,6,4
1591265493,3,4
1591266212,5,985
1591266933,2,3
1591267653,4,7
1591268372,4,3
1591269094,7,8
1591269813,5,4
1591270773,9,11
1591271493,6,10
1591272214,4,12
1591272933,7,7
1591273653,7,7
1591274373,5,4
1591275094,9,10
1591276053,10,14
1591276773,7,12
1591277493,4,6
1591278212,5,5
1591278933,3,8
1591279653,4,9
1591280373,4,4
1591281092,7,3
1591281813,5,1
1591282532,2,7
1591283253,9,8
1591283973,6,2
1591284693,2,1
1591285413,4,3
1591286133,5,5
1591286852,5,3
1591287573,4,3
1591288294,7,3
1591289013,9,5
1591289733,3,10
1591290453,4,3
1591291173,5,2
1591291893,5,1
1591292614,7,3
1591293333,2,5
1591294053,2,7
1591294774,6,4
1591295493,10,6
1591296213,2,11
1591296933,15,3
1591297653,6,4
1591298373,6,7
1591299093,6,4
1591299812,2,4
1591300533,6,6
1591301253,10,4
1591301973,3,3
1591302692,3,3
1591303413,2,7
1591304133,5,4
1591304854,2,7
1591305572,2,4
1591306293,4,5
1591307012,3,2
1591307733,3,4
1591308452,0,4
1591309174,3,8
1591309894,1,4
1591310613,6,4
1591311333,3,5
1591312052,7,1
1591312773,13,4
1591313493,2,5
1591314213,5,2
1591314933,8,5
1591315654,6,3
1591316373,8,5
1591317094,8,6
1591317813,7,13
