DateTime,AddedIPs,RemovedIPs
1590522978,51,42
1590524891,27,49
1590527058,45,27
1590528985,52,41
1590531153,48,55
1590533051,31,49
1590534982,52,32
1590536889,35,50
1590538811,51,37
1590540742,64,51
1590542653,63,60
1590544566,65,63
1590546498,57,66
1590548416,65,59
1590550343,68,61
1590552252,66,69
1590554169,62,65
1590556107,53,59
1590560170,56,59
1590562089,55,60
1590564017,59,52
1590565933,52,57
1590567855,28,53
1590569779,68,30
1590571701,49,65
1590575539,59,48
1590577706,54,59
1590581530,46,59
1590583448,51,44
1590585384,54,50
1590587289,63,55
1590589209,18,66
1590591145,29,17
1590593055,18,30
1590594981,38,17
1590596886,39,37
1590598824,62,39
1590600794,49,59
1590602663,56,47
1590604570,38,59
1590606512,51,36
1590608409,44,53
1590610330,46,46
1590612262,27,45
1590614171,34,28
1590616098,32,32
1590618007,41,31
1590619929,45,42
1590621853,35,44
1590623767,47,35
1590625691,46,51
1590627630,55,44
1590629542,53,54
1590631451,59,49
1590637210,52,57
1590641288,66,54
1590643219,52,67
1590645128,67,54
1590647048,61,71
1590648975,65,58
1590650885,59,64
1590652813,51,58
1590654745,54,53
1590656915,59,49
1590658817,59,63
1590660734,55,60
1590662961,68,54
1590665058,60,69
1590666980,67,62
1590668893,46,61
1590670824,51,49
1590672739,59,52
1590674663,65,58
1590676574,41,69
1590678736,66,39
1590680663,31,66
1590682606,62,30
1590684498,53,63
1590686423,68,52
1590688328,60,68
1590690293,54,64
1590692180,59,54
1590694087,37,58
1590696020,49,34
1590697937,48,49
1590699852,53,48
1590701772,55,52
1590703704,53,54
1590705611,61,56
1590707550,59,57
1590709453,56,55
1590711379,62,62
1590713304,59,57
1590715235,60,59
1590717135,57,61
1590719071,55,61
1590720969,54,55
1590722900,67,54
1590724811,63,67
1590726742,64,64
1590728908,62,65
1590730812,59,59
1590732742,61,60
1590734652,48,63
1590736573,71,50
1590738503,56,68
1590740410,43,58
1590742329,45,39
1590744272,64,49
1590746168,53,63
1590750020,55,51
1590751933,46,52
1590756078,62,52
1590757926,62,62
1590759860,56,61
1590762013,19,59
1590763933,21,19
1590765861,22,20
1590769685,62,21
1590771629,65,61
1590773532,71,63
1590775449,64,70
1590777415,59,63
1590779292,57,61
1590781204,62,54
1590783140,43,68
1590785046,35,42
1590786968,39,35
1590788901,24,41
1590790810,40,24
1590792731,44,36
1590794666,25,43
1590796567,48,30
1590798486,66,44
1590800430,62,64
1590802331,51,63
1590804496,68,51
1590806407,56,65
1590808336,59,60
1590810251,61,59
1590812182,58,63
1590814089,65,57
1590816006,68,63
1590817936,71,70
1590819847,63,71
1590821766,72,62
1590823694,50,76
1590825620,67,47
1590827536,46,66
1590829453,62,47
1590831367,67,63
1590833298,55,61
1590835206,53,56
1590839050,50,52
1590840968,48,49
1590842888,55,53
1590844809,54,55
1590846729,61,49
1590848651,15,70
1590850566,22,14
1590852487,27,21
1590854423,35,27
1590856329,57,36
1590858496,65,56
1590860407,56,68
1590862327,64,53
1590864246,51,60
1590866167,40,53
1590868086,38,38
1590870006,36,41
1590871927,42,35
1590873849,33,45
1590875767,42,33
1590877685,30,40
1590879620,52,33
1590881526,38,48
1590883449,38,37
1590887290,51,41
1590889209,43,45
1590891125,53,48
1590893047,65,51
1590894967,60,63
1590896886,56,59
1590898806,62,60
1590902647,38,65
