DateTime,AddedIPs,RemovedIPs
1586093253,2,2
1586104342,7,4
1586115268,3,6
1586126052,4,1
1586136821,9,2
1586147832,7,0
1586158743,3,3
1586169822,6,7
1586180645,5,6
1586191551,3,3
1586202325,6,7
1586213216,5,0
1586224319,5,4
1586235259,3,3
1586257295,4,4
1586268467,7,3
1586279263,4,6
1586290017,6,1
1586300825,5,13
1586310834,4,2
1586321624,2,1
1586332461,2,1
1586343392,5,1
1586354096,6,3
1586365090,1,2
1586375956,6,2
1586387138,4,3
1586398020,2,8
1586409113,7,7
1586419948,6,7
1586430250,1,5
1586440752,2,4
1586451727,14,6
1586462849,8,7
1586473742,5,3
1586483762,5,4
1586493268,3,4
1586504207,2,2
1586515043,1,4
1586525819,2,4
1586536567,2,2
1586547602,4,7
1586558305,6,1
1586569448,2,0
1586580400,3,0
1586591362,1,0
1586612406,5,0
1586623316,3,2
1586634166,4,2
1586645204,1,2
1586656298,1,3
1586667362,2,2
1586678380,1,1
1586689337,5,1
1586700368,7,7
1586710103,4,5
1586720851,3,4
1586731866,5,2
1586742285,4,8
1586752978,2,5
1586763442,3,1
1586774351,3,1
1586785238,5,3
1586796236,12,3
1586807061,3,5
1586817787,5,3
1586828766,2,4
1586839441,0,3
1586850735,0,2
1586861655,3,6
1586872351,5,3
1586882867,2,1
1586893428,4,5
1586904477,5,4
1586915256,1,9
1586926283,0,2
1586936150,2,3
1586947213,2,1
1586958102,1,4
1586968784,1,2
1586979739,5,2
1586990874,1,1
1587001519,4,2
1587012079,1,3
1587023008,7,1
1587034074,6,2
1587044958,5,1
1587055882,2,3
1587066839,3,4
1587077186,5,3
1587087801,4,0
1587098846,3,3
1587109846,4,2
1587120956,4,10
1587132012,4,1
1587142779,9,3
1587153854,3,2
1587164516,6,4
1587175348,3,4
1587185574,5,3
1587196276,1,0
1587207126,7,3
1587218151,2,0
1587228865,2,4
1587239811,1,7
1587250672,2,10
1587260600,5,7
1587271531,1,1
1587282360,1,1
1587293015,1,1
1587303933,4,2
1587314514,6,3
1587325353,6,8
1587336390,8,2
1587347179,5,1
1587358026,13,5
1587369313,11,1
1587380223,11,1
1587391286,16,2
1587402193,5,1
1587413282,13,3
1587424321,9,4
1587435388,3,2
1587446021,6,4
1587456655,4,4
1587468000,3,4
1587477955,1,1
1587487980,2,2
1587498913,3,3
1587509960,6,2
1587521093,1,1
1587532092,2,1
1587542767,13,4
1587553692,3,2
1587564687,4,2
1587575528,3,2
1587586533,2,6
1587597509,8,1
1587608634,4,1
1587619755,0,3
1587630187,5,3
1587640981,5,6
1587651507,0,9
1587662634,2,4
1587673778,6,4
1587684633,1,7
1587695462,5,5
1587706309,6,3
1587717179,3,3
1587727903,3,6
1587738832,1,8
1587749742,3,7
1587760616,2,5
1587770931,4,5
1587781603,3,7
