DateTime,AddedIPs,RemovedIPs
1585483441,2255,2255
1585494241,3162,3162
1585505041,3740,3740
1585515842,4283,4283
1585526641,4679,4679
1585537441,5170,5170
1585548241,2121,2121
1585559041,1794,1794
1585569841,2396,2396
1585580641,3296,3296
1585591441,3703,3703
1585613041,3920,3920
1585623841,4857,4857
1585634641,1979,1979
1585645441,1712,1712
1585656241,2272,2272
1585667041,3144,3144
1585677841,3766,3766
1585688641,4285,4285
1585699441,4645,4645
1585710241,5134,5134
1585721041,1892,1892
1585731841,1805,1805
1585742641,2121,2121
1585753441,3011,3011
1585764241,3619,3619
1585775041,4190,4190
1585785841,4614,4614
1585796641,5141,5141
1585807441,1931,1931
1585818241,1808,1808
1585829041,2180,2180
1585839841,3055,3055
1585850641,3763,3763
1585861441,4250,4250
1585872241,4632,4632
1585883041,5186,5186
1585893841,1897,1897
1585904641,1663,1663
1585915441,2105,2105
1585926241,3024,3024
1585937041,3664,3664
1585947841,4163,4163
1585958641,4600,4600
1585969441,5065,5065
1585980241,2018,2018
1585991041,1692,1692
1586001841,2360,2360
1586012641,3253,3253
1586023441,3789,3789
1586120641,6213,6213
1586131441,4256,4256
1586142241,4706,4706
1586153041,1658,1658
1586163841,1512,1512
1586174641,1591,1591
1586185441,2493,2493
1586196241,3184,3184
1586207041,3701,3701
1586217841,4068,4068
1586228641,4582,4582
1586239441,1462,1462
1586250241,1372,1372
1586261041,1230,1230
1586271841,1962,1962
1586282641,2681,2681
1586293441,3223,3223
1586304241,3651,3651
1586315041,4205,4205
1586325841,1470,1470
1586336641,1381,1381
1586347441,1321,1321
1586358241,2114,2114
1586369041,2814,2814
1586379841,3292,3292
1586390641,3774,3774
1586401441,4348,4348
1586412241,1544,1544
1586423041,1547,1547
1586433841,1358,1358
1586444641,2242,2242
1586455441,2982,2982
1586466241,3480,3480
1586477041,3949,3949
1586487841,4447,4447
1586498641,1523,1523
1586509441,1519,1519
1586520242,1375,1375
1586531041,2283,2283
1586541841,3010,3010
1586552641,3575,3575
1586563441,4061,4061
1586574241,4537,4537
1586585041,1721,1721
1586595841,1511,1511
1586606641,1709,1709
1586617441,2587,2587
1586628241,3266,3266
1586639041,3850,3850
1586649841,4236,4236
1586660641,4738,4738
1586671441,1844,1844
1586682241,1686,1686
1586693041,2116,2116
1586703841,3316,3316
1586714641,4101,4101
1586725441,4617,4617
1586736241,5048,5048
1586747041,5471,5471
1586757841,2132,2132
1586768641,1887,1887
1586779441,2964,2964
1586790241,3784,3784
1586801041,4395,4395
1586811841,4837,4837
1586822641,5232,5232
1586833441,5600,5600
1586844241,2062,2062
1586855041,1733,1733
1586865841,2583,2583
1586876641,3479,3479
1586887441,4038,4038
1586898241,4489,4489
1586909041,4887,4887
1586919841,5297,5297
1586930641,1890,1890
1586941441,1631,1631
1586952241,2093,2093
1586963041,2847,2847
1586973841,3510,3510
1586984641,3930,3930
1586995441,4322,4322
1587006241,4761,4761
1587017041,1717,1717
1587027841,1564,1564
1587038641,2002,2002
1587049441,2874,2874
1587060241,3520,3520
1587071041,4061,4061
1587081841,4510,4510
1587092641,4951,4951
1587103441,1775,1775
1587114242,1553,1553
1587125041,2043,2043
1587135841,2854,2854
1587146641,3499,3499
1587157441,3948,3948
1587168241,4284,4284
1587179041,4731,4731
1587189841,1614,1614
1587200641,1581,1581
1587211441,1931,1931
1587222241,2795,2795
1587233042,3408,3408
1587243841,3829,3829
1587254641,4223,4223
1587265441,4634,4634
1587276241,1605,1605
1587287041,1412,1412
1587297842,1574,1574
1587308641,2456,2456
1587319441,3081,3081
1587330241,3917,3917
1587341042,4427,4427
1587351841,4998,4998
1587362641,1998,1998
1587373441,1808,1808
1587384241,2801,2801
1587395041,3559,3559
1587405841,4152,4152
1587416641,4519,4519
1587427441,4894,4894
1587438241,5297,5297
1587449041,1960,1960
1587459841,1633,1633
1587470641,2551,2551
1587481441,3296,3296
1587492241,4190,4190
1587503041,4550,4550
1587513841,5153,5153
1587524641,5470,5470
1587535441,2222,2222
1587546241,1987,1987
1587557041,3095,3095
1587567841,3803,3803
1587578641,4431,4431
1587589441,4815,4815
1587600241,5137,5137
1587611041,5473,5473
1587621841,2163,2163
1587632641,1260,1260
1588161841,7070,7070
1588183441,6190,6190
1588194241,4373,4373
1588205041,4733,4733
1588215841,5145,5145
1588226641,2062,2062
1588237441,1693,1693
1588248241,2486,2486
1588259041,3315,3315
1588269841,3858,3858
1588280641,4354,4354
1588291441,4648,4648
1588302241,5127,5127
1588313041,2119,2119
1588323841,1553,1553
1588334641,1989,1989
1588345441,2849,2849
1588356241,3480,3480
1588367041,3946,3946
1588377841,4323,4323
1588388641,4854,4854
1588399441,1898,1898
1588410241,1627,1627
1588421041,1968,1968
1588431841,2872,2872
1588442641,3455,3455
1588453441,3971,3971
1588464241,4385,4385
1588475041,4928,4928
1588485841,1872,1872
1588496641,1702,1702
1588507441,2259,2259
1588518241,3101,3101
1588529041,3741,3741
1588539841,4213,4213
1588550641,4611,4611
1588561441,5076,5076
1588572241,1966,1966
1588583041,1889,1889
1588593841,2571,2571
1588604641,3418,3418
1588615441,4032,4032
1588626241,4498,4498
1588637041,4928,4928
1588647841,5259,5259
1588658641,2016,2016
1588669441,1686,1686
1588680241,2440,2440
1588691041,3305,3305
1588701841,4044,4044
1588712641,4449,4449
1588723441,4826,4826
1588734241,5201,5201
1588745041,2044,2044
1588755841,1859,1859
1588766641,2468,2468
1588777441,3473,3473
1588788241,4133,4133
1588799041,4598,4598
1588809841,5049,5049
1588820641,5531,5531
1588831441,1624,1624
1588842241,2332,2332
1588853041,2796,2796
1588863841,3645,3645
1588874641,4269,4269
1588885441,4731,4731
1588896241,5121,5121
1588907041,5458,5458
1588917841,2151,2151
1588928641,1828,1828
1588939441,2717,2717
1588950241,3470,3470
1588961041,4121,4121
1588971841,4630,4630
1588982641,4973,4973
1588993441,5351,5351
1589004241,2140,2140
1589015041,1724,1724
1589025841,2502,2502
1589036641,3327,3327
1589047441,3945,3945
1589058241,4389,4389
1589069041,4819,4819
1589079841,5222,5222
1589090641,1997,1997
1589101441,1752,1752
1589112241,2330,2330
1589123041,3201,3201
1589133841,3883,3883
1589144641,4385,4385
1589155441,4868,4868
1589166241,5374,5374
1589177041,2209,2209
1589187841,1906,1906
1589198641,2892,2892
1589209441,3771,3771
1589220241,4438,4438
1589231041,5040,5040
1589241841,5397,5397
1589252641,5823,5823
1589263441,2529,2529
1589274241,2461,2461
1589285041,3626,3626
1589295841,4439,4439
1589306641,5079,5079
1589317442,5573,5573
1589328241,5917,5917
1589339041,6388,6388
1589349841,2785,2785
1589360641,2796,2796
1589371441,4053,4053
1589382241,4865,4865
1589393041,5555,5555
1589403841,6104,6104
1589414641,6564,6564
1589425441,6979,6979
1589436241,3103,3103
1589447041,3612,3612
1589457841,4898,4898
1589468641,5668,5668
1589479441,6311,6311
1589490241,6845,6845
1589501041,7074,7074
1589511841,7650,7650
1589522641,3370,3370
1589533441,4264,4264
1589544241,5390,5390
1589555041,6119,6119
1589565841,6530,6530
1589576641,7067,7067
1589587441,7417,7417
1589598241,7937,7937
1589609041,3506,3506
1589619841,4473,4473
1589630641,5521,5521
1589641441,6221,6221
1589652241,6737,6737
1589663041,7176,7176
1589673841,7448,7448
1589684641,7810,7810
1589695441,3542,3542
1589706241,4520,4520
1589717041,5631,5631
1589727841,6428,6428
1589738641,6973,6973
1589749441,7295,7295
1589760241,7582,7582
1589771041,7943,7943
1589781841,2824,2824
1589792641,4808,4808
1589803441,5938,5938
1589814241,6674,6674
1589825041,7171,7171
1589835841,7488,7488
1589846641,7768,7768
1589857441,8211,8211
1589868241,2981,2981
1589879041,3328,3328
1589889841,4352,4352
1589900641,5166,5166
1589911441,5802,5802
1589922241,6149,6149
1589933041,6491,6491
1589943841,6970,6970
1589954641,2869,2869
1589965441,2943,2943
1589976241,4117,4117
1589987041,4870,4870
1589997841,5363,5363
1590008641,5795,5795
1590019441,6105,6105
1590030241,6443,6443
1590041041,2527,2527
1590051841,2373,2373
1590062641,3529,3529
1590073441,4329,4329
1590084241,4978,4978
1590095041,5419,5419
1590105841,5758,5758
1590116641,6114,6114
1590127441,2557,2557
1590138241,2497,2497
1590149041,3552,3552
1590159841,4464,4464
1590170641,5083,5083
1590181441,5531,5531
1590192241,5918,5918
1590203041,6249,6249
1590235441,3571,3571
1590246241,3579,3579
1590257041,5165,5165
1590267841,5569,5569
1590278641,5883,5883
1590289441,6210,6210
1590300241,2554,2554
1590311041,2751,2751
1590321841,3805,3805
1590332641,4509,4509
1590343441,4985,4985
1590354241,5460,5460
1590365041,5770,5770
1590375841,6129,6129
1590386641,2477,2477
1590397441,2692,2692
1590408241,3840,3840
1590419041,4556,4556
1590429841,5127,5127
1590440641,5537,5537
1590451441,5820,5820
1590462241,6132,6132
1590473041,2513,2513
1590483841,2682,2682
1590494641,3701,3701
1590505441,4409,4409
1590516241,5030,5030
1590527041,5330,5330
1590537841,5687,5687
1590548641,6039,6039
1590559441,2471,2471
1590570241,2686,2686
1590581041,3696,3696
1590591841,4415,4415
1590602641,4552,4552
1590613441,5309,5309
1590624241,5600,5600
1590635041,5877,5877
1590645841,2376,2376
1590656641,2537,2537
1590667441,3566,3566
1590678241,4281,4281
1590689041,4824,4824
1590699841,5209,5209
1590710641,5585,5585
1590721441,5795,5795
1590732241,2350,2350
1590743041,2295,2295
1590753841,3391,3391
1590764641,4105,4105
1590775441,4581,4581
1590786241,5040,5040
1590797041,5380,5380
1590807841,5689,5689
1590818641,2255,2255
1590829441,2160,2160
1590840241,3228,3228
1590851041,3730,3730
1590861841,4289,4289
1590872641,4898,4898
1590883441,5165,5165
1590894241,5488,5488
1590905041,2214,2214
1590915841,1897,1897
1590926641,2996,2996
1590937441,3628,3628
1590948241,4179,4179
1590959041,4637,4637
1590969841,5031,5031
1590980641,5383,5383
1590991441,2262,2262
1591002241,2184,2184
1591013041,3200,3200
1591023841,3996,3996
1591034641,4514,4514
1591045442,4966,4966
1591056241,5309,5309
1591067041,5519,5519
1591077841,2196,2196
1591088641,1764,1764
1591099441,2807,2807
1591110241,3531,3531
1591121041,4093,4093
1591131841,4528,4528
1591142641,4863,4863
1591153441,5237,5237
1591164241,2131,2131
1591175041,1699,1699
1591185841,2828,2828
1591196641,3573,3573
1591207441,4100,4100
1591218241,4501,4501
1591229041,4899,4899
1591239841,5304,5304
1591250641,2359,2359
1591261441,1892,1892
1591272241,3013,3013
1591283041,3545,3545
1591293841,4367,4367
1591304641,4897,4897
1591315441,5252,5252
1591326241,5666,5666
1591337041,2454,2454
1591347841,2232,2232
1591358641,3407,3407
1591369441,3693,3693
1591380241,4754,4754
1591391041,5263,5263
1591401841,5569,5569
1591412641,6004,6004
1591423441,2678,2678
1591434241,2615,2615
1591445041,3788,3788
1591455841,4541,4541
1591466641,5127,5127
1591477441,5599,5599
1591488241,5878,5878
1591499041,6193,6193
1591509841,2688,2688
1591520641,2694,2694
