DateTime,AddedIPs,RemovedIPs
1591223118,2,0
1591223418,1,0
1591223715,3,0
1591224018,3,0
1591224319,2,0
1591224618,2,0
1591225217,2,0
1591225519,1,0
1591225816,1,0
1591226117,2,0
1591226418,1,0
1591227018,1,0
1591227617,4,0
1591227917,1,0
1591228217,3,0
1591228516,1,0
1591228818,2,0
1591229417,20,0
1591229717,4,0
1591230617,1,0
1591231217,4,0
1591231818,1,0
1591232117,1,0
1591232719,1,0
1591233017,1,0
1591233618,1,0
1591233917,1,0
1591234218,2,0
1591234517,2,0
1591234817,1,0
1591235119,2,0
1591236018,1,0
1591236317,1,0
1591236619,3,0
1591236918,3,0
1591237217,2,0
1591237518,1,0
1591237817,1,0
1591238116,1,0
1591238418,1,0
1591239018,2,0
1591239316,1,0
1591239618,3,0
1591240216,1,0
1591240519,1,0
1591240818,1,0
1591241120,1,0
1591241417,1,0
1591241715,1,0
1591242017,2,0
1591242318,4,0
1591242916,24,0
1591243517,1,0
1591243816,1,0
1591244119,1,0
1591245317,2,0
1591245918,2,0
1591246219,1,0
1591247116,1,0
1591247417,1,0
1591247718,2,0
1591248018,1,0
1591248618,1,0
1591248916,2,0
1591249217,1,0
1591249519,2,0
1591249818,1,0
1591250116,4,0
1591250416,2,0
1591250716,4,0
1591251319,1,0
1591253716,2,0
1591254616,3,0
1591255217,1,0
1591255516,2,0
1591256116,1,0
1591256417,1,0
1591256718,2,0
1591257316,3,0
1591257916,2,0
1591258217,7,0
1591258817,1,0
1591259118,2,0
1591259416,2,0
1591259716,1,0
1591260018,1,0
1591261218,2,0
1591261518,1,0
1591261816,3,0
1591262117,1,0
1591262418,2,0
1591263016,3,0
1591263317,1,0
1591263617,1,0
1591264216,3,0
1591265117,1,0
1591265417,3,0
1591266017,4,0
1591266319,2,0
1591266620,1,0
1591267218,2,0
1591267519,2,0
1591267820,3,0
1591268718,1,0
1591269017,1,0
1591269618,3,0
1591269918,1,0
1591270217,1,0
1591270817,1,0
1591271717,1,0
1591272017,1,0
1591272319,1,0
1591272617,1,0
1591272916,1,0
1591273816,1,0
1591274116,1,0
1591276216,1,0
1591276518,4,0
1591277418,1,0
1591277716,2,0
1591278916,1,0
1591280719,1,0
1591281618,1,0
1591281916,1,0
1591282516,32,0
1591283415,1,0
1591284618,1,0
1591284917,1,0
1591285818,1,0
1591286419,1,0
1591286717,1,0
1591287018,14,0
1591287318,1,0
1591288818,0,1
1591289118,1,0
1591291818,1,0
1591293016,2,0
1591293316,1,0
1591293618,1,0
1591296318,1,0
1591296616,1,0
1591297218,3,0
1591297517,2,0
1591298116,1,0
1591298416,1,0
1591298719,2,0
1591299016,2,0
1591299617,2,0
1591300516,1,0
1591300818,3,0
1591301118,2,0
1591301417,2,0
1591301717,2,0
1591302017,1,0
1591302317,1,0
1591302618,2,0
1591303218,2,0
1591303519,1,0
1591304418,1,0
1591305017,2,0
1591305316,1,0
1591305616,1,0
1591305918,1,0
1591306516,1,0
1591306818,11,0
1591307117,1,0
1591307416,1,0
1591308318,2,0
1591309217,1,0
1591310116,1,0
1591310418,1,0
1591311317,1,0
1591311618,1,0
1591311918,2,0
1591312216,2,0
1591313119,1,0
1591313418,1,0
1591314018,2,0
1591314916,1,0
1591315817,10,0
1591316118,1,0
1591316418,1,0
1591316717,1,0
1591317017,2,0
1591317317,1,0
1591318217,2,0
1591320317,1,0
1591321217,1,0
1591321518,2,0
1591321816,1,0
1591322117,1,0
1591322717,1,0
1591323316,1,0
1591323617,1,0
1591324218,3,0
1591324517,4,0
1591325118,3,0
1591326316,1,0
1591326618,2,0
1591326917,1,0
1591327519,1,0
1591327816,1,0
1591328717,1,0
1591329016,2,0
1591329918,1,0
1591330816,2,0
1591331716,1,0
1591332018,1,0
1591332319,1,0
1591332617,3,0
1591333515,1,0
1591334116,2,0
1591334720,1,0
1591335316,1,0
1591335917,1,0
1591337116,3,0
1591337416,3,0
1591338017,3,0
1591338322,1,0
1591339217,1,0
1591339517,1,0
1591339816,2,0
1591340419,2,0
1591340719,1,0
1591341316,1,0
1591341916,1,0
1591342218,1,0
1591342518,1,0
1591343117,2,0
1591344019,2,0
1591344316,2,0
1591344616,7,0
1591345217,1,0
1591345517,4,0
1591346419,2,0
1591346718,1,0
1591347316,2,0
1591347619,4,0
1591348516,1,0
1591349416,1,0
1591349716,2,0
1591350316,1,0
1591351218,33,0
1591351816,1,0
1591352417,1,0
1591353316,1,0
1591354218,1,0
1591354817,1,0
1591355417,1,0
1591356318,1,0
1591356917,1,0
1591357217,1,0
1591357817,1,0
1591358116,1,0
1591358418,2,0
1591358716,1,0
1591359318,2,0
1591359617,1,0
1591360217,1,0
1591361119,1,0
1591362319,1,0
1591362617,1,0
1591363519,1,0
1591364417,1,0
1591364720,1,0
1591365017,1,0
1591365618,1,0
1591366816,1,0
1591367420,2,0
1591368017,2,0
1591368617,1,0
1591369516,1,0
1591370416,1,0
1591371316,1,0
1591371618,1,0
1591373416,8,0
1591374319,1,0
1591374616,1,0
1591374916,2,0
1591375817,2,0
1591376116,1,0
1591377617,1,0
1591377916,1,0
1591378220,2,0
1591378517,1,0
1591378818,1,0
1591379119,1,0
1591379417,1,0
1591379716,1,0
1591380018,1,0
1591380319,2,0
1591380617,1,0
1591380916,3,0
1591381816,1,0
1591382418,2,0
1591383016,1,0
1591383316,1,0
1591383618,4,0
1591384516,1,0
1591385118,1,0
1591385418,2,0
1591385716,2,0
1591386018,1,0
1591386318,1,0
1591386915,1,0
1591387518,1,0
1591388417,1,0
1591388718,1,0
1591389316,1,0
1591389618,1,0
1591390216,1,0
1591392317,3,0
1591392617,1,0
1591397117,1,0
1591398917,1,0
1591399217,1,0
1591399519,9,0
1591399816,2,0
1591400116,1,0
1591400417,1,0
1591401618,1,0
1591402217,14,0
1591403417,2,0
1591403716,1,0
1591404017,1,0
1591404618,1,0
