DateTime,AddedIPs,RemovedIPs
1585177929,13,9
1585189449,33,23
1585195142,99,59
1585197128,18,8
1585221864,661,1183
1585245618,1460,1679
1585263633,614,0
1585266491,15,12
1585274169,8,14
1585278011,17,10
1585281849,11,18
1585321727,752,654
1585332017,1547,1528
1585350967,8,13
1585362487,31,27
1585367943,83,54
1585370166,20,7
1585412884,500,462
1585413151,203,179
1585418420,1241,1243
1585439528,13,0
1585447209,21,0
1585451294,14,6
1585455128,93,72
1585505317,671,1881
1585524490,1130,1655
1585532168,19,12
1585536006,22,0
1585540743,80,23
1585543690,13,7
1585563612,622,0
1585591222,1398,1663
1585613293,15,13
1585620970,21,24
1585627142,62,41
1585628656,14,8
1585643536,677,768
1585677381,599,570
1585677619,1408,1224
1585698007,10,0
1585705685,12,4
1585709533,12,20
1585713542,80,65
1585717210,12,9
1585726808,693,0
1585740732,640,590
1585764018,1240,1852
1585782967,18,17
1585794490,34,34
1585799942,99,84
1585802169,19,18
1585831699,500,432
1585831928,176,187
1585850420,1286,2033
1585871528,17,8
1585879216,13,10
1585883292,15,13
1585887128,107,74
1585923129,659,1302
1585936819,1278,1646
1585956246,9,10
1585963926,15,15
1585967766,14,12
1585972742,90,60
1585975449,14,9
1586013850,622,1937
1586023219,1139,1567
1586045049,12,11
1586052727,30,29
1586059143,77,52
1586060409,10,10
1586105290,617,1266
1586109620,1130,1839
1586130258,11,10
1586137928,17,12
1586141770,30,10
1586145615,10,6
1586196021,1683,1975
1586197685,591,557
1586215209,10,7
1586226731,35,26
1586231942,84,71
1586234407,6,10
1586255655,607,684
1586282419,1963,1907
1586303772,15,15
1586311450,15,17
1586315289,21,11
1586319126,102,71
1586325126,613,612
1586326359,434,0
1586348662,630,0
1586365221,1719,1479
1586388250,21,9
1586395927,16,0
1586399769,20,15
1586404742,89,69
1586407447,14,11
1586417061,610,607
1586451621,1811,1679
1586476813,16,14
1586484490,12,22
1586488326,17,8
1586491142,113,77
1586492164,17,11
1586509017,608,653
1586522182,621,0
1586538019,1606,1853
1586561767,9,8
1586569447,20,0
1586573287,16,16
1586577542,107,53
1586580967,10,17
1586613369,635,586
1586624418,1396,2012
1586646488,16,0
1586658007,39,25
1586663942,114,65
1586665685,9,14
1586705047,632,666
1586710817,1445,1766
1586734807,20,23
1586742485,19,14
1586746331,10,19
1586750342,97,77
1586754011,15,10
1586784263,499,1816
1586784732,178,666
1586793618,1525,1786
1586819770,22,0
1586831290,43,11
1586836742,103,63
1586838970,10,4
1586875467,496,373
1586876178,250,203
1586877130,291,0
1586877369,497,0
1586880020,1876,2231
1586908326,20,17
1586916014,18,12
1586920090,19,25
1586923925,107,56
1586936902,677,593
1586962817,1603,1962
1586978178,723,671
1586993527,21,9
1587001211,19,0
1587005053,16,16
1587009542,101,59
1587012729,12,26
1587036733,656,0
1587042502,977,0
1587049217,1496,1833
1587082091,25,7
1587089767,45,22
1587095942,103,74
1587097446,12,11
1587111370,686,591
1587132017,1354,1447
1587152891,704,0
1587166807,20,11
1587174485,19,0
1587178330,18,26
1587182342,104,66
1587186007,12,12
1587187933,626,682
1587218418,1273,1414
1587251289,16,0
1587262807,47,30
1587268742,93,74
1587270486,8,12
1587279366,661,582
1587301219,1059,2004
1587339614,14,18
1587347287,16,12
1587351129,15,14
1587355142,97,77
1587358809,14,10
1587371294,638,627
1587387617,1311,1497
1587426006,19,0
1587433687,23,0
1587437529,21,3
1587441542,69,110
1587442570,670,569
1587445214,18,12
1587456025,668,0
1587466575,716,633
1587474016,1352,1546
1587483863,658,0
1587489158,643,0
1587507375,651,0
1587511208,22,6
1587513630,612,0
1587514591,661,0
1587522732,40,31
1587525620,677,0
1587527942,67,63
1587530406,13,0
1587534489,608,0
1587537641,670,0
1587538841,678,0
1587551538,624,0
1587553736,641,0
1587554657,674,0
1587560039,684,587
1587561144,2134,1615
1587600011,21,21
1587607692,21,0
1587611789,21,23
1587614342,87,65
1587619469,19,27
1587630021,663,0
1587639617,1870,1382
1587683049,13,0
1587694567,35,25
1587700743,74,66
1587702252,7,0
1587720739,650,1932
1587726018,1577,1106
1587771368,17,19
1587779046,17,0
1587783132,9,26
1587787143,102,63
1587790812,18,34
1587812168,679,590
1587812418,1317,1163
1587856089,20,0
1587867611,40,24
1587873542,96,54
1587875285,16,15
1587895220,1112,1442
1587903857,500,922
1587904335,158,304
1587944648,17,22
1587952329,25,0
1587956168,16,28
1587959943,106,75
1587963846,19,11
1587981617,1061,1975
1587995569,677,622
1588029127,23,0
1588040887,49,26
1588046343,138,55
1588048579,17,9
1588068017,1667,1963
1588087226,745,689
1588117928,20,35
1588125611,24,15
1588129691,19,35
1588133526,130,57
1588154419,1683,1615
1588178652,655,1254
1588202886,21,0
1588210569,19,0
1588214407,17,13
1588222084,14,21
1588240819,1568,1787
1588270109,709,1227
1588291214,20,28
1588299131,42,19
1588306808,11,0
1588327218,1476,1504
1588361590,773,1308
1588376167,25,14
1588383851,30,0
1588387686,14,29
1588391942,97,66
1588395367,9,33
1588413616,1099,1170
1588452501,694,663
1588460894,19,0
1588472410,53,28
1588478343,92,57
1588480090,9,17
1588500016,1314,1839
1588543940,729,633
1588549448,24,23
1588557125,36,14
1588560968,20,26
1588564742,164,64
1588568648,7,15
1588586417,1770,1753
1588634408,23,0
1588635608,696,591
1588646171,43,31
1588651142,95,78
1588653851,15,10
1588672817,1330,1561
1588723218,23,24
1588727302,710,602
1588728968,26,0
1588731126,12,0
1588737542,103,58
1588738806,8,9
1588759217,1480,1581
1588808167,20,14
1588817529,20,17
1588818491,609,576
1588819685,13,26
1588823942,232,47
1588827369,11,14
1588845617,1466,1447
1588893127,28,0
1588902247,20,18
1588904650,10,0
1588909686,669,573
1588910342,238,60
1588912325,10,13
1588932018,1289,1190
1588981686,18,35
1588991047,24,29
1588993211,14,18
1588997046,8,0
1589001140,870,1662
1589018418,1177,1241
1589066167,16,0
1589075765,20,0
1589077694,15,0
1589083142,108,65
1589085368,12,38
1589092810,648,590
1589104817,1047,1238
1589154488,15,26
1589160965,22,17
1589166005,12,32
1589169850,9,0
1589183530,684,1244
1589191217,994,1558
1589238970,21,14
1589249768,16,21
1589250488,7,16
1589255943,109,69
1589258166,6,23
1589276421,781,617
1589277617,1499,1519
1589327292,18,17
1589334486,17,36
1589338807,13,9
1589342887,18,0
1589364017,1795,1498
1589367862,849,615
1589412253,20,16
1589423767,41,27
1589428742,191,64
1589431448,14,28
1589450418,1416,1351
1589459070,719,657
1589501293,20,17
1589508970,53,14
1589515142,86,67
1589516646,8,15
1589536816,1415,1128
1589550737,721,2143
1589586009,16,19
1589593692,18,15
1589597530,19,26
1589601542,87,67
1589605216,12,6
1589623217,1323,1253
1589642179,775,2287
1589671696,23,0
1589680092,22,0
1589683929,24,18
1589687942,105,61
1589691606,8,15
1589709617,1049,1062
1589733859,498,490
1589734567,262,173
1589757607,23,20
1589769128,51,42
1589774342,76,83
1589776804,21,0
1589796016,1682,1582
1589824344,499,947
1589825315,225,342
1589846410,15,40
1589854331,14,0
1589858167,28,35
1589860742,121,73
1589862006,10,11
1589882416,1853,1504
1589916735,662,628
1589931367,22,0
1589939050,21,24
1589942887,15,0
1589947142,100,64
1589950566,11,10
1589968816,1643,1700
1590009153,672,622
1590016092,19,18
1590027607,48,51
1590033542,126,53
1590035285,15,20
1590055216,1603,1698
1590102255,681,3849
1590103206,7,20
1590112809,14,0
1590116651,15,36
1590120490,13,22
1590141617,1997,1454
1590192007,11,23
1590193469,674,7214
1590201607,28,35
1590206342,117,52
1590209287,6,16
1590228017,1864,1146
1590276965,10,43
1590284904,641,676
1590286332,14,0
1590290171,15,38
1590292742,132,54
1590294010,7,12
1590314416,1526,1197
1590361927,13,0
1590371294,12,36
1590375135,15,15
1590377353,679,671
1590382806,4,13
1590400817,1253,1375
1590450964,18,38
1590460330,24,43
1590465542,103,120
1590468011,6,33
1590468490,711,668
1590487217,1391,1730
1590535930,18,0
1590545049,12,23
1590548890,26,19
1590552726,92,52
1590559706,744,671
1590573616,2205,1434
1590620890,14,16
1590633856,26,50
1590638342,80,59
1590641525,7,35
1590651145,555,678
1590660016,1293,2200
1590709928,10,22
1590719053,23,24
1590724742,91,55
1590726726,8,15
1590744021,719,743
1590746416,1370,1549
1590795365,9,33
1590803766,8,23
1590807610,15,34
1590811693,5,0
1590832817,1383,1210
1590835692,734,670
1590880324,16,0
1590892567,27,50
1590897542,91,58
1590900247,4,18
1590919217,954,1101
1590925693,753,716
1590969125,13,42
1590977532,21,25
1590981368,26,14
1590983943,65,39
1590985208,4,0
1591005617,912,1752
1591017130,747,778
1591054325,15,19
1591062486,15,0
1591066330,19,24
1591070343,110,45
1591074006,12,15
1591092016,1315,1679
1591108333,680,702
1591142647,9,18
1591150808,26,59
1591156743,106,85
1591158730,17,0
1591178416,1353,2172
1591199290,707,731
1591227605,17,23
1591236007,30,0
1591239848,29,34
1591243688,8,18
1591264816,1577,2635
1591290731,730,691
1591312086,15,0
1591324566,34,76
1591329542,103,202
1591332247,18,24
1591351216,1289,2044
1591382169,680,707
1591400409,17,32
1591409287,14,0
1591413126,23,20
1591415942,106,70
1591416965,6,0
1591437616,1045,1546
1591473370,689,640
1591485125,13,0
1591497849,43,44
1591502342,117,204
1591505526,6,18
1591524017,1024,1254
