DateTime,AddedIPs,RemovedIPs
1590560885,46,41
1590562818,69,61
1590564740,62,38
1590566898,52,82
1590568818,55,52
1590570737,42,55
1590572651,58,68
1590574819,68,2983
1590576728,71,74
1590578649,1342,0
1590580567,62,65
1590582504,84,40
1590584435,86,68
1590586333,57,45
1590588268,65,44
1590590170,70,75
1590592111,34,41
1590594011,57,73
1590595946,52,49
1590597851,49,60
1590599765,61,72
1590601686,65,48
1590603617,86,64
1590605532,51,52
1590607446,58,68
1590609377,97,63
1590611284,39,52
1590613223,74,65
1590615128,50,49
1590617052,66,43
1590618977,64,62
1590620904,1208,0
1590622824,54,53
1590624738,46,44
1590626660,46,36
1590628568,58,60
1590630487,36,45
1590632406,67,43
1590634338,52,63
1590636251,44,47
1590638174,67,51
1590640086,40,60
1590642008,72,61
1590643947,25,48
1590645855,53,42
1590647768,63,64
1590649708,57,57
1590651614,55,53
1590653773,52,66
1590655689,62,44
1590657627,52,59
1590659526,65,30
1590661445,49,2797
1590663375,88,77
1590665541,1267,0
1590667453,77,57
1590669379,87,50
1590671297,67,49
1590673214,71,64
1590675129,56,48
1590677048,59,44
1590679236,67,49
1590681132,46,50
1590683049,63,51
1590684976,77,65
1590686885,69,56
1590688819,59,41
1590690738,60,47
1590692647,48,61
1590694567,78,72
1590696499,66,48
1590698404,65,46
1590700326,64,51
1590702257,62,60
1590704170,84,66
1590706093,60,63
1590708015,1116,0
1590709933,39,59
1590711857,57,36
1590713769,58,45
1590715686,41,41
1590717631,63,43
1590719532,45,47
1590721462,53,32
1590723366,61,43
1590725534,80,47
1590727457,46,51
1590729371,52,56
1590731532,48,48
1590733461,43,35
1590735365,45,66
1590737284,62,51
1590739277,58,62
1590741129,44,40
1590743048,39,38
1590744977,51,74
1590746888,37,2725
1590748806,53,50
1590750990,1244,0
1590752891,70,61
1590755109,119,63
1590756972,70,51
1590758884,71,42
1590760811,76,51
1590762723,60,60
1590764651,50,48
1590766575,64,51
1590768488,41,59
1590770404,64,52
1590772335,73,57
1590774247,66,41
1590776170,81,66
1590778099,59,49
1590780015,98,60
1590781931,66,38
1590783859,48,43
1590785768,69,82
1590787686,73,43
1590789618,79,70
1590791571,80,43
1590793451,1125,0
1590795379,54,51
1590797298,41,51
1590799210,28,47
1590801136,50,48
1590803048,33,28
1590804971,41,65
1590806900,35,40
1590808808,28,42
1590810731,22,48
1590812651,27,39
1590814571,56,68
1590816498,45,32
1590818417,42,50
1590820327,35,45
1590822513,44,62
1590824412,51,44
1590826329,47,35
1590828258,45,54
1590830172,50,65
1590832098,41,53
1590834022,32,2760
1590835929,48,53
1590837851,1181,0
1590839766,78,47
1590841687,50,58
1590843619,41,53
1590845593,57,43
1590847451,66,53
1590849365,68,56
1590851290,57,52
1590853204,56,48
1590855125,85,81
1590857045,74,48
1590859210,85,57
1590861126,52,45
1590863046,58,43
1590864964,83,47
1590866884,41,63
1590868815,68,58
1590870727,64,47
1590872647,91,39
1590874566,55,51
1590876490,51,36
1590878409,96,64
1590880327,1056,0
1590882245,57,41
1590884167,65,43
1590886087,74,42
1590888007,129,44
1590889924,52,39
1590891848,32,34
1590893765,55,57
1590895686,43,40
1590897612,64,63
1590899529,50,48
1590901449,46,35
1590903368,54,40
1590905294,41,43
1590907205,44,40
1590909126,58,62
1590910988,39,52
1590912970,49,52
1590914888,61,42
1590916807,54,40
1590918739,74,34
1590920650,35,2600
1590922566,79,50
1590924485,954,0
1590926475,94,49
1590928333,38,27
1590930251,38,40
1590932167,32,42
1590934097,25,41
1590936005,45,26
1590937928,126,38
1590939847,63,27
1590941765,51,27
1590943686,60,52
1590945607,47,772
1590947526,758,33
1590949470,63,25
1590951365,55,42
1590953284,46,53
1590955218,82,47
1590957128,37,48
1590959297,102,41
1590961208,71,53
1590963382,70,41
1590965289,66,32
1590967207,828,0
1590969137,54,33
1590971051,62,28
1590972977,73,37
1590974887,44,36
1590976810,72,38
1590978727,41,24
1590980650,43,36
1590982579,66,26
1590984499,52,18
1590986653,59,40
1590988572,59,60
1590990501,37,40
1590992433,43,29
1590994347,48,33
1590996261,33,51
1590998165,62,38
1591000087,38,49
1591002018,59,45
1591003929,32,40
1591005848,41,2777
1591007779,71,68
1591009703,1286,0
1591011619,78,75
1591013531,68,76
