DateTime,AddedIPs,RemovedIPs
1584200645,17,2
1584215288,21,3
1584229932,19,0
1584244565,15,2
1584259212,39,3
1584273847,23,1
1584288510,17,0
1584303132,13,2
1584317773,33,0
1584332405,44,1
1584347046,27,1
1584361691,27,1
1584376340,21,4
1584390985,29,1
1584405605,14,2
1584420250,31,1
1584434910,19,2
1584449552,18,3
1584464166,19,1
1584478822,27,2
1584493448,35,0
1584508090,50,0
1584522749,36,0
1584537369,47,0
1584552020,47,2
1584566646,28,0
1584581286,40,2
1584595940,31,3
1584610812,32,3
1584625459,34,2
1584640090,29,1
1584654725,31,1
1584669378,25,3
1584684008,27,3
1584698894,27,1
1584713526,12,2
1584728166,29,1
1584742822,26,0
1584757448,32,0
1584772090,26,2
1584786741,28,1
1584801610,40,0
1584816258,21,0
1584830899,55,0
1584845529,36,1
1584860165,12,0
1584874816,29,0
1584889454,16,0
1584904101,12,3
1584918735,38,4
1584933368,11,1
1584948017,17,3
1584962652,14,1
1584977285,26,1
1584991928,7,2
1585006577,18,1
1585021207,20,1
1585035847,11,1
1585050490,13,2
1585065129,16,0
1585079777,22,0
1585094417,7,1
1585109298,20,2
1585123927,31,0
1585138577,24,1
1585153209,19,2
1585167860,46,0
1585182487,13,0
1585197133,41,2
1585211777,31,2
1585226404,31,2
1585241050,19,1
1585255701,19,2
1585270335,20,1
1585284966,17,0
1585299608,17,4
1585314247,18,2
1585328897,18,4
1585343525,26,2
1585358166,16,1
1585372806,30,3
1585387458,17,1
1585402097,12,5
1585416727,10,2
1585431376,46,0
1585446007,31,2
1585460648,18,0
1585475287,27,1
1585489932,17,2
1585504575,21,0
1585519213,13,1
1585534342,21,2
1585548967,33,0
1585563606,27,0
1585578282,39,0
1585592887,19,1
1585607540,23,1
1585622178,29,0
1585636822,7,1
1585651448,27,0
1585666229,27,0
1585681008,37,1
1585695611,26,0
1585710489,22,0
1585725133,18,1
1585739782,34,1
1585754405,10,0
1585769060,22,0
1585783689,15,0
1585798334,19,0
1585812976,20,2
1585827606,12,0
1585842257,42,0
1585856901,34,0
1585871531,5,1
1585886209,30,1
1585900808,13,0
1585915448,12,0
1585930099,20,2
