DateTime,AddedIPs,RemovedIPs
1591089721,29,0
1591090321,38,44
1591090921,32,34
1591092121,38,72
1591092721,27,0
1591093921,39,105
1591094521,38,0
1591095121,42,31
1591095721,23,55
1591096321,37,0
1591096921,33,69
1591097521,34,0
1591098121,32,0
1591098721,38,25
1591099321,18,47
1591099922,32,61
1591100522,36,0
1591101721,41,59
1591102321,43,31
1591102921,22,50
1591104121,39,41
1591104721,24,73
1591105321,35,29
1591105921,41,0
1591106521,36,22
1591107122,33,111
1591108321,25,42
1591108921,28,23
1591109521,39,0
1591110122,44,15
1591111321,37,24
1591112521,35,75
1591113721,38,43
1591114321,32,41
1591114922,45,28
1591116121,46,44
1591117321,31,57
1591118521,37,79
1591119721,29,38
1591120921,36,78
1591122121,67,104
1591123321,40,36
1591123922,34,0
1591124521,38,37
1591125721,24,77
1591126921,19,31
1591128121,42,33
1591129322,26,41
1591130521,48,67
1591131121,37,82
1591131722,35,0
1591132921,29,18
1591133521,47,0
1591134121,34,48
1591135321,55,74
1591135921,37,0
1591136521,41,0
1591137722,40,70
1591138322,48,100
1591138921,53,0
1591140121,36,59
1591140721,29,0
1591141322,32,0
1591142522,36,85
1591143121,49,43
1591143721,41,0
1591144321,35,0
1591145522,34,74
1591146122,37,0
1591147321,35,75
1591148521,40,8
1591149721,32,47
1591150321,36,35
1591151522,34,73
1591152121,33,41
1591153321,44,36
1591154521,37,40
1591155122,30,0
1591155721,32,35
1591156921,39,37
1591158121,39,44
1591158721,34,29
1591159321,36,0
1591160521,41,82
1591161722,32,42
1591162921,28,108
1591164121,33,0
1591165321,27,35
1591166521,32,82
1591167722,26,0
1591168921,42,28
1591170121,34,40
1591171321,52,42
1591172521,30,0
1591173122,35,35
1591173721,33,0
1591174922,32,76
1591176121,44,37
1591176722,38,32
1591177322,48,34
1591177921,39,44
1591178521,28,0
1591179121,22,89
1591179722,34,0
1591180921,28,35
1591181522,38,35
1591182121,28,42
1591183321,25,68
1591183921,29,79
1591184522,31,28
1591185721,36,76
1591186921,41,64
1591187521,40,0
1591188121,33,0
1591188721,28,31
1591189321,32,51
1591189922,37,30
1591190521,38,42
1591191721,9,83
1591192322,22,36
1591192921,44,37
1591194121,55,0
1591195321,35,59
1591196521,34,65
1591197122,32,24
1591197722,38,0
1591198921,39,85
1591199521,28,0
1591200122,32,0
1591200722,54,72
1591201322,43,49
1591201921,56,0
1591202522,24,0
1591203121,32,46
1591204321,33,42
1591204921,33,0
1591206121,44,72
1591206721,22,0
1591207321,41,0
1591208521,44,40
1591209721,29,51
1591210921,44,82
1591212121,22,0
1591213322,31,28
1591213921,49,75
1591214521,38,0
1591215721,37,43
1591216322,42,0
1591216921,33,94
1591218121,43,33
1591218721,44,0
1591219922,18,75
1591220522,32,31
1591221121,35,0
1591222322,35,90
1591222921,29,0
1591223521,32,30
1591224721,32,58
1591225921,28,39
1591226522,22,0
1591227122,36,38
1591227721,41,78
1591228321,26,0
1591229521,38,71
1591230122,31,0
1591230721,34,67
1591231321,45,0
1591232521,28,83
1591233721,30,0
1591234921,51,33
1591236121,48,59
1591237322,48,0
1591238522,44,106
1591239122,40,0
1591239721,32,0
1591240921,33,19
1591241521,44,40
1591242122,40,61
1591243321,36,0
1591244521,29,65
1591245721,31,70
1591246922,34,62
1591248121,51,33
1591249321,34,0
1591250521,40,72
1591251721,38,24
1591252921,43,0
1591254121,42,71
1591255321,47,0
1591256521,35,80
1591257721,44,0
1591258921,31,64
1591259521,34,0
1591260121,22,67
1591260721,50,0
1591261321,34,0
1591261921,34,34
1591262522,42,0
1591263721,38,117
1591264321,40,0
1591264921,38,66
1591265521,35,0
1591266121,35,34
1591266722,38,26
1591267321,45,37
1591267921,30,40
1591268521,47,29
1591269122,29,0
1591269721,37,25
1591270321,56,0
1591270921,43,31
1591271521,31,37
1591272121,24,0
1591273321,31,74
1591273921,30,72
1591275122,24,10
1591275721,38,22
1591276322,34,38
1591277522,28,32
1591278121,27,0
1591278722,29,100
1591279321,32,0
1591279921,33,32
1591281121,44,53
