DateTime,AddedIPs,RemovedIPs
1591089721,80,80
1591090321,79,79
1591090921,79,79
1591092121,77,77
1591092721,80,80
1591093921,77,77
1591094521,80,80
1591095121,80,80
1591095721,80,80
1591096321,80,80
1591096921,79,79
1591097521,80,80
1591098121,80,80
1591098721,80,80
1591099321,43,43
1591099922,77,77
1591100522,80,80
1591101721,78,78
1591102321,66,66
1591102921,79,79
1591104121,80,80
1591104721,80,80
1591105321,80,80
1591105921,80,80
1591106521,80,80
1591107122,80,80
1591108321,80,80
1591108921,80,80
1591109521,80,80
1591110122,80,80
1591111321,80,80
1591112521,80,80
1591113721,80,80
1591114321,80,80
1591114922,80,80
1591116121,80,80
1591117321,80,80
1591118521,80,80
1591119721,79,79
1591120921,80,80
1591122121,79,79
1591123321,80,80
1591123922,80,80
1591124521,80,80
1591125721,79,79
1591126921,74,74
1591128121,80,80
1591129322,80,80
1591130521,80,80
1591131121,80,80
1591131722,80,80
1591132921,80,80
1591133521,80,80
1591134121,80,80
1591135321,80,80
1591135921,80,80
1591136521,80,80
1591137722,80,80
1591138322,80,80
1591138921,80,80
1591140121,80,80
1591140721,79,79
1591141322,80,80
1591142522,80,80
1591143121,80,80
1591143721,80,80
1591144321,80,80
1591145522,80,80
1591146122,80,80
1591147321,80,80
1591148521,80,80
1591149721,80,80
1591150321,80,80
1591151522,80,80
1591152121,80,80
1591153321,80,80
1591154521,80,80
1591155122,80,80
1591155721,80,80
1591156921,80,80
1591158121,79,79
1591158721,79,79
1591159321,80,80
1591160521,79,79
1591161722,80,80
1591162921,80,80
1591164121,80,80
1591165321,80,80
1591166521,78,78
1591167722,79,79
1591168921,80,80
1591170121,80,80
1591171321,80,80
1591172521,74,74
1591173122,79,79
1591173721,80,80
1591174922,80,80
1591176121,80,80
1591176722,80,80
1591177322,80,80
1591177921,80,80
1591178521,80,80
1591179121,80,80
1591179722,80,80
1591180921,80,80
1591181522,80,80
1591182121,80,80
1591183321,80,80
1591183921,80,80
1591184522,71,71
1591185721,80,80
1591186921,79,79
1591187521,79,79
1591188121,80,80
1591188721,79,79
1591189321,79,79
1591189922,80,80
1591190521,80,80
1591191721,80,80
1591192322,47,47
1591192921,80,80
1591194121,79,79
1591195321,80,80
1591196521,80,80
1591197122,80,80
1591197722,80,80
1591198921,80,80
1591199521,79,79
1591200122,80,80
1591200722,80,80
1591201322,80,80
1591201921,80,80
1591202522,75,75
1591203121,80,80
1591204321,77,77
1591204921,80,80
