DateTime,AddedIPs,RemovedIPs
1591004521,2,2
1591005722,0,2
1591008721,2,2
1591009321,0,6
1591010521,1,0
1591011121,1,0
1591011721,1,1
1591012321,1,0
1591012921,0,4
1591013521,1,0
1591014122,0,3
1591014721,1,5
1591015321,1,2
1591017121,1,3
1591017721,1,1
1591018921,1,2
1591020121,2,1
1591020721,2,0
1591021921,2,1
1591023721,1,0
1591024321,0,1
1591024922,2,1
1591025521,1,0
1591026121,0,3
1591026721,2,0
1591027321,4,0
1591027921,0,1
1591028521,1,4
1591029721,2,0
1591030321,1,3
1591030921,1,5
1591032121,2,3
1591033921,4,1
1591034521,1,1
1591035122,13,0
1591035722,0,1
1591036321,0,4
1591038122,2,1
1591038721,0,4
1591039922,1,0
1591040521,2,0
1591041721,2,4
1591042322,0,1
1591043522,1,0
1591044121,0,1
1591044721,0,6
1591045321,1,0
1591047121,1,1
1591047721,0,5
1591048322,1,0
1591049521,0,10
1591050721,0,2
1591051922,0,5
1591053121,0,5
1591054322,0,4
1591055522,0,2
1591056121,2,0
1591057321,0,6
1591058521,0,4
1591059721,0,3
1591060922,0,12
1591061521,0,11
1591062721,0,2
1591064521,0,2
1591065121,1,3
1591065722,1,4
1591066321,2,5
1591066922,0,17
1591068121,2,0
1591069321,0,11
1591070522,1,2
1591071721,0,1
1591072922,1,0
1591074122,2,2
1591074721,0,7
1591075321,1,0
1591075921,1,3
1591076521,0,6
1591078321,1,7
1591079521,0,3
1591080722,0,4
1591081921,1,5
1591083721,0,2
1591084921,0,5
1591086121,1,2
1591087321,0,7
1591087921,1,2
1591088521,0,1
1591089121,1,2
1591089721,3,1
1591092121,1,0
1591092721,3,0
1591093321,0,2
1591093921,0,1
1591094521,0,1
1591095721,0,1
1591097521,0,2
1591098721,1,1
1591099922,1,2
1591101721,3,0
1591102321,1,0
1591102921,0,2
1591104121,8,3
1591104721,0,5
1591106521,4,1
1591107721,0,2
1591108321,0,1
1591108921,0,1
1591110122,0,3
1591112521,0,1
1591113121,0,2
1591113721,1,2
1591114922,0,1
1591116121,0,5
1591117321,1,1
1591118521,1,0
1591119121,3,5
1591119721,0,2
1591120321,0,1
1591121521,8,0
1591122722,7,4
1591123321,1,2
1591124521,1,1
1591125121,0,3
1591126321,2,0
1591126921,1,2
1591128121,1,1
1591128722,2,0
1591129921,0,1
1591132321,0,4
1591133521,1,0
1591135321,1,8
1591136521,1,1
1591137722,1,4
1591138322,2,3
1591138921,0,1
1591140121,1,3
1591141321,0,4
1591141921,1,7
1591142522,0,1
1591143721,6,0
1591144321,0,1
1591144921,0,4
1591146721,0,7
1591147321,0,6
1591148521,0,2
1591149121,0,1
1591152121,0,7
1591152721,0,4
1591154521,1,5
1591155721,2,0
1591156321,2,4
1591157522,1,0
1591158121,0,2
1591159321,2,3
1591160521,0,4
1591161122,0,7
1591162921,0,4
1591163521,3,0
1591164721,0,5
1591165321,0,3
1591166521,0,9
1591167722,2,0
1591168921,0,1
1591170121,4,5
1591171321,1,3
1591172521,0,7
1591173721,1,5
1591174322,0,3
1591175521,1,0
1591176121,0,4
1591177322,2,5
1591178521,1,0
1591179121,0,2
1591179722,0,4
1591182721,1,2
1591183321,1,0
1591183921,0,2
1591185721,2,2
1591186321,1,0
1591186921,2,2
1591188121,0,3
1591188721,1,3
1591189321,0,1
1591190521,7,2
1591191721,26,6
1591192921,1,11
1591194121,0,1
1591194722,0,5
1591195922,0,2
1591196521,2,0
1591197722,1,2
1591198921,1,4
1591199521,0,3
1591200122,0,4
1591200722,2,3
1591201322,0,2
1591201921,1,0
1591202522,1,4
1591203722,1,5
1591204321,0,22
1591205522,2,3
1591206121,0,1
1591207922,0,1
1591209121,2,0
1591210921,1,4
1591212121,0,4
1591212721,1,0
1591213921,0,2
1591214521,0,2
1591215721,1,0
1591216921,0,1
1591218121,0,6
1591219322,0,1
1591219922,0,2
1591220522,0,1
1591221121,1,0
1591222921,1,3
1591223521,0,3
1591224721,0,2
1591225321,1,4
1591226522,41,1
1591227122,1,0
1591227721,5,5
1591228922,0,5
1591230122,1,4
1591231321,3,30
1591232521,2,3
1591233721,1,7
1591234921,0,8
1591236121,1,3
1591236721,0,2
1591237921,2,0
1591238522,1,7
1591239721,1,0
1591240322,3,16
1591241521,0,10
1591242122,0,1
1591243321,3,0
1591244521,1,27
1591246922,0,2
1591248121,1,1
1591250521,1,2
1591251721,2,4
1591252321,0,12
1591254121,0,3
1591256521,0,5
1591257721,0,5
1591258921,2,0
1591259521,0,3
1591260721,0,2
1591261321,0,2
1591262522,0,5
1591263721,1,8
1591264321,1,4
1591265521,3,3
1591266722,2,4
1591267921,3,3
1591268521,0,3
1591269721,3,3
1591270921,0,2
1591271521,4,0
1591272121,0,1
1591273921,5,0
1591275122,2,5
1591276321,5,1
1591276921,4,0
1591277521,0,2
1591278722,0,1
1591279321,2,4
1591280521,0,2
1591281121,2,2
1591282321,16,2
1591282921,4,0
1591283521,1,3
1591284721,2,0
1591285321,6,0
1591285921,4,5
1591286521,8,1
1591287721,2,4
1591288921,12,1
1591289521,11,0
1591290721,2,3
1591291322,1,0
1591292521,2,0
1591293121,32,0
1591294321,12,1
1591294921,18,0
1591296121,9,6
1591297321,10,0
1591297921,2,3
1591298521,1,0
1591299122,7,1
1591299721,1,0
1591300321,2,0
1591300921,8,2
1591302122,3,2
1591303321,2,2
1591304521,2,3
1591305721,1,0
1591306921,2,6
1591309321,0,5
1591309921,1,1
