DateTime,AddedIPs,RemovedIPs
1586739888,1,0
1586743490,0,1
1586768690,0,1
1586779514,0,31
1586783094,41,0
1586786691,1,0
1586811888,1,0
1586822688,1,0
1586847894,0,1
1586855093,1,0
1586865905,1,0
1586869492,8,5
1586876691,1,0
1586898289,1,0
1586905490,0,1
1586955892,5,176
1586963090,1,0
1586970291,0,1
1586984691,3,0
1587042295,6,174
1587063893,0,2
1587074690,1,0
1587103491,0,1
1587114292,1,0
1587125141,1,0
1587128695,6,62
1587135893,0,2
1587146689,1,0
1587150291,0,1
1587153894,0,1
1587157490,0,1
1587161104,1,0
1587179093,1,0
1587186296,1,0
1587207933,1,0
1587211513,0,2
1587215091,7,6
1587222291,0,1
1587229498,1,0
1587236690,1,0
1587254693,1,1
1587265490,0,1
1587269089,0,1
1587287094,1,0
1587294312,0,1
1587301495,3,1
1587330296,0,3
1587333892,1,1
1587341094,2,0
1587348294,0,1
1587377119,1,0
1587384316,3,2
1587387896,0,4
1587416696,1,0
1587427497,0,2
1587431094,0,1
1587434693,0,1
1587438301,0,1
1587441899,0,1
1587459897,0,2
1587463516,0,1
1587470695,16,0
1587474296,1,2
1587488696,0,2
1587495897,4,0
1587499498,4,0
1587510304,1,0
1587521096,1,0
1587535495,1,1
1587539095,2,0
1587546295,0,1
1587549916,0,2
1587553542,0,1
1587557111,2,13
1587560691,15,7
1587564290,2,0
1587582292,0,3
1587589490,1,0
1587596693,2,1
1587600291,4,2
1587603893,2,1
1587614691,0,4
1587643508,12,0
1587647090,1,3
1587650690,0,1
1587679500,2,0
1587683096,1,5
1587693891,0,1
1587697491,0,1
1587701093,1,0
1587704692,0,1
1587722710,1,2
1587733493,6,7
1587744301,1,0
1587758692,1,0
1587762292,1,0
1587765892,2,0
1587780291,0,1
1587783891,0,2
1587787492,1,1
1587794693,1,0
1587798298,0,1
1587801892,2,0
1587805491,0,2
1587812722,1,2
1587816302,3,2
1587819892,0,2
1587830692,1,0
1587848693,0,2
1587852294,1,1
1587855893,1,0
1587859493,1,0
1587866693,1,0
1587873894,0,1
1587877497,0,1
1587881093,1,1
1587884710,3,1
1587888300,0,1
1587891897,1,0
1587895524,2,0
1587902700,1,0
1587906297,1,2
1587913499,1,4
1587917097,0,2
1587920698,0,1
1587924298,1,0
1587927902,0,1
1587931504,1,2
1587935106,0,2
1587938702,1,0
1587942297,0,1
1587945900,1,1
1587949503,4,1
1587953103,0,1
1587956703,2,0
1587971114,1,0
1587974699,1,0
1587981900,0,4
1587985526,1,0
1587989121,0,5
1587992706,0,1
1587996306,5,2
1587999906,0,1
1588017932,0,2
1588025109,1,0
1588050299,0,1
1588053899,1,0
1588064702,1,0
1588079116,7,10
1588086309,0,1
1588100707,1,0
1588111504,2,0
1588115107,1,0
1588118704,1,0
1588136707,1,0
1588140308,1,0
1588143910,0,1
1588147506,2,0
1588151106,2,0
1588154755,1,0
1588158345,0,1
1588165505,1,4
1588172705,0,4
1588179907,1,0
1588190712,1,0
1588197905,1,0
1588201534,0,1
1588205101,0,1
1588208700,1,0
1588230303,0,1
1588233900,1,2
1588237503,1,1
1588241161,1,0
1588244754,1,0
1588248349,0,4
1588251907,5,0
1588255501,2,1
1588259102,1,0
1588273521,0,1
1588280702,1,0
1588287901,2,0
1588327543,0,1
1588334728,3,0
1588338317,0,1
1588349118,1,0
1588363508,1,1
1588374303,1,0
1588377903,1,0
1588392303,0,2
1588403104,4,0
1588410303,0,1
1588417535,1,1
1588421124,5,3
1588424705,0,38
1588428305,2,0
1588435500,0,1
1588460701,2,0
1588464302,1,0
1588489512,1,0
1588496704,0,1
1588503928,1,0
1588507517,0,5
1588511100,13,0
1588529113,0,1
1588550704,1,0
1588561500,1,0
1588583107,0,1
1588601100,0,3
1588658700,0,1
1588665901,0,1
1588673130,0,1
1588680322,22,1
1588683902,0,5
1588719900,0,2
1588723502,0,1
1588766735,42,0
1588770304,0,2
1588777524,0,1
1588802707,0,1
1588809902,0,1
1588820698,0,1
1588835121,0,2
1588838708,0,1
1588853142,0,3
1588856699,9,4
1588881899,0,1
1588885497,0,1
1588889100,0,1
1588903567,0,1
1588925101,0,2
1588939515,7,3
1588943100,1,0
1589018720,0,1
1589025911,5,5
1589029498,0,1
1589036693,0,1
1589090699,0,1
1589097895,0,1
1589105116,0,1
1589112296,7,1
1589115893,0,12
1589148300,0,1
1589198724,0,2
1589202304,25,0
1589205903,0,1
1589216705,0,1
1589227495,0,1
1589231095,0,1
1589259899,0,2
1589285108,8,19
1589292295,0,2
1589295900,0,1
1589310293,1,0
1589324694,7,2
1589331897,0,1
1589371503,14,4
1589375095,0,2
1589378697,0,1
1589403895,0,1
1589411097,1,0
1589414701,0,1
1589457905,0,2
1589461500,47,8
1589468697,0,1
1589490292,0,1
1589544303,0,10
1589547891,17,1
1589555092,0,1
1589576694,0,3
1589587492,1,0
1589630694,0,4
1589634309,0,1
1589641511,17,1
1589666694,0,1
1589691894,1,0
1589706294,0,1
1589717094,8,7
1589735091,0,1
1589738688,0,1
1589753095,0,1
1589778292,0,1
1589799903,0,1
1589807088,27,12
1589814289,0,1
1589821487,0,1
1589828688,0,1
1589846689,0,1
1589879090,0,1
1589889902,0,6
1589893489,13,1
1589925888,0,1
1589933091,0,2
1589969106,0,1
1589976299,0,16
1589979883,14,1
1589997893,1,0
1590008687,0,1
1590012290,1,0
1590019492,1,0
1590041097,1,0
1590062705,1,1
1590066339,17,55
1590073490,1,0
1590084286,1,0
1590087888,0,4
1590091491,0,4
1590113093,0,1
1590116690,1,1
1590127494,0,1
1590131096,0,2
1590145491,9,1
1590149090,0,3
1590152699,0,20
1590156286,0,2
1590163486,1,0
1590167085,1,0
1590174284,1,0
1590181485,0,1
1590188684,0,2
1590192295,0,4
1590195888,0,2
1590210296,1,0
1590231908,3,0
1590239110,0,2
1590242701,1,0
1590246287,8,19
1590249887,4,0
1590253488,1,0
1590267887,1,0
1590271488,1,2
1590275090,0,1
1590278688,0,1
1590285889,1,0
1590293087,0,1
1590303890,1,0
1590314703,2,0
1590318301,0,1
1590321891,7,4
1590325489,0,1
1590329090,2,0
1590336289,0,1
1590339891,2,0
1590347088,1,0
1590354289,0,1
1590357892,2,2
1590361490,1,0
1590372291,1,0
1590386693,0,1
1590390291,1,0
1590393895,0,2
1590401105,1,0
1590404719,1,0
1590411889,7,11
1590415492,2,0
1590422693,0,1
1590437091,1,0
1590440689,1,0
1590444291,1,1
1590447890,0,1
1590451492,0,1
1590458692,0,1
1590473092,0,1
1590476697,0,3
1590487499,0,2
1590491126,2,0
1590494705,0,1
1590498297,48,12
1590501890,3,0
1590505492,0,1
1590509096,1,0
1590512692,3,0
1590519896,1,0
1590523493,3,1
1590527090,2,0
1590530691,0,1
1590534287,1,0
1590537889,0,1
1590541491,0,4
1590548695,1,1
1590559496,1,0
1590563098,1,1
1590566697,4,1
1590577516,1,2
1590581107,7,0
1590584688,9,14
1590588292,1,0
1590609892,7,0
1590617092,1,1
1590627894,1,0
1590635092,1,0
1590645897,0,1
1590649495,1,0
1590653093,1,0
1590656693,0,1
1590660311,2,0
1590671093,9,22
1590674693,1,0
1590678293,1,0
1590692694,1,1
1590696294,1,0
1590699894,1,0
1590703496,1,1
1590707094,0,1
1590710693,1,1
1590721497,1,0
1590728691,0,1
1590732295,0,1
1590735897,1,0
1590739493,1,2
1590743094,0,2
1590746728,1,1
1590750303,2,7
1590753900,7,0
1590757489,3,1
1590761091,1,0
1590768293,1,0
1590771889,0,1
1590779090,2,1
1590786291,2,0
1590789890,1,1
1590797091,3,0
1590800688,1,1
1590804293,1,0
1590811489,6,0
1590815090,1,0
1590822293,2,0
1590825894,0,1
1590829490,3,1
1590833104,0,1
1590836703,0,1
1590843884,12,0
1590847487,4,0
1590851086,2,6
1590869085,3,0
1590876285,1,0
1590879887,0,2
1590890685,4,0
1590926702,2,5
1590937489,1,0
1590951888,1,0
1590955488,2,1
1590959089,1,0
1590966295,1,1
1590969895,1,1
1590995092,0,4
1591002294,2,0
1591009516,0,1
1591016692,0,56
1591020292,1,2
1591027492,1,0
1591052691,0,2
1591056294,0,1
1591077896,1,0
1591081501,0,1
1591085104,2,0
1591092345,2,0
1591095935,0,1
1591099504,2,0
1591103092,0,37
1591110293,1,0
1591117494,1,0
1591124692,1,0
1591131913,1,0
1591139095,1,0
1591142696,0,1
1591149894,1,0
1591153499,0,1
1591164297,1,0
1591175133,133,0
1591189496,0,13
1591196691,1,0
1591211096,1,0
1591214697,1,0
1591218296,1,0
1591221899,1,0
1591229102,1,0
1591236292,1,0
1591250703,3,0
1591265096,7,0
1591275898,0,13
1591279493,2,0
1591286700,1,0
1591290299,1,0
1591293895,2,0
1591340708,1,0
1591347934,0,4
1591355101,14,0
1591358695,0,6
1591362294,1,0
1591394700,2,0
1591427092,1,0
1591430691,1,0
1591437910,0,2
1591441496,8,1
1591445099,0,1
1591448698,0,12
1591455895,1,1
1591481097,3,0
1591506298,1,0
1591524308,8,0
