DateTime,AddedIPs,RemovedIPs
1589596381,8,9
1589599982,8,11
1589603581,10,9
1589607181,7,7
1589610782,10,11
1589614381,10,7
1589617982,13,15
1589621582,14,15
1589625181,7,8
1589628781,13,10
1589632381,13,13
1589635982,9,12
1589639581,12,11
1589643182,10,11
1589646782,14,15
1589650381,9,9
1589653982,10,12
1589657581,13,12
1589661181,14,11
1589664781,12,13
1589668382,13,14
1589671981,12,11
1589675581,13,12
1589679181,8,9
1589682781,7,6
1589686381,12,12
1589689981,14,11
1589693581,10,12
1589697181,13,13
1589704381,19,19
1589707981,19,17
1589711581,12,15
1589715182,12,11
1589718781,9,9
1589722382,9,11
1589725982,10,10
1589729582,7,6
1589733181,12,12
1589736781,15,17
1589740382,10,11
1589743981,12,12
1589747582,12,10
1589751181,15,14
1589754781,9,9
1589758381,13,11
1589761981,5,6
1589765581,13,13
1589769182,16,18
1589772781,12,8
1589776382,20,21
1589779981,13,15
1589783581,16,14
1589787182,18,19
1589790781,13,12
1589794382,4,5
1589797982,19,20
1589801582,14,16
1589805182,15,15
1589808781,16,15
1589812381,8,7
1589819582,15,14
1589823182,17,18
1589826782,18,18
1589830381,5,5
1589833982,16,19
1589837582,12,9
1589841181,4,4
1589844782,15,14
1589848381,11,10
1589851981,15,15
1589855582,8,8
1589859182,13,15
1589862782,12,11
1589866382,13,13
1589869982,15,13
1589873582,13,12
1589877181,8,8
1589880782,9,11
1589884381,10,12
1589887981,12,11
1589891581,14,14
1589895181,8,10
1589898781,10,10
1589902382,8,9
1589905981,7,6
1589909581,8,11
1589913181,11,10
1589916781,7,7
1589920381,11,11
1589923981,11,11
1589927582,10,10
1589931181,12,12
1589934781,13,13
1589938381,19,16
1589941982,11,12
1589945581,8,10
1589949182,9,5
1589952782,9,11
1589956382,15,13
1589959982,8,11
1589963581,11,11
1589967181,7,7
1589970782,10,8
1589974381,10,10
1589977981,16,15
1589981581,14,13
1589985181,11,12
1589988782,15,15
1589992381,10,11
1589995981,19,18
1589999582,7,7
1590003181,18,21
1590006782,7,5
1590010381,10,11
1590013981,14,14
1590017582,14,12
1590021181,10,11
1590024781,12,11
1590028381,13,14
1590031981,7,8
1590035581,12,10
1590039181,11,12
1590042781,8,7
1590046382,12,13
1590049982,12,11
1590053582,10,10
1590057182,19,19
1590060782,13,12
1590064382,12,11
1590067982,13,14
1590071581,17,13
1590075182,15,16
1590078782,12,13
1590082382,15,19
1590085982,21,18
1590089582,15,17
